tarih,aciklama,gelir,gider,kategori
2024-01-01,Office 365,0,3555,Teknoloji
2024-01-02,Stratejik plan danışmanlığı,44217,0,Satış
2024-01-04,Levent ofis kira,0,19751,Kira
2024-01-05,Konferans katılım ücreti,0,9975,Pazarlama
2024-01-07,ISO sertifikasyon danışmanlığı,33958,0,Satış
2024-01-09,Stratejik plan danışmanlığı,34130,0,Satış
2024-01-09,Elektrik,0,3333,Fatura
2024-01-10,Audit ve due diligence ücreti,42705,0,Satış
2024-01-11,Süreç iyileştirme proje ödemesi,30100,0,Satış
2024-01-13,Office 365,0,3577,Teknoloji
2024-01-14,Audit ve due diligence ücreti,39518,0,Satış
2024-01-14,Telefon ve internet,0,4016,Fatura
2024-01-15,Yönetim danışmanlığı tahsilatı,31762,0,Satış
2024-01-16,KDV ödemesi,0,13425,Vergi
2024-01-19,Şehir dışı müşteri ziyaret,0,11567,Lojistik
2024-01-20,Kıdemli danışman maaşları,0,106023,Maaş
2024-01-22,Kitap telif gelirleri,18785,0,Diğer Gelir
2024-01-25,Veri analiz araçları,0,4087,Teknoloji
2024-02-03,Levent ofis kira,0,26797,Kira
2024-02-03,LinkedIn Ads,0,5816,Pazarlama
2024-02-04,Veri analiz araçları,0,3900,Teknoloji
2024-02-09,Eğitim ve workshop geliri,56026,0,Satış
2024-02-09,LinkedIn Ads,0,4990,Pazarlama
2024-02-12,Kıdemli danışman maaşları,0,54726,Maaş
2024-02-13,Yönetim danışmanlığı tahsilatı,61889,0,Satış
2024-02-13,Junior danışman maaşı,0,65701,Maaş
2024-02-17,KDV ödemesi,0,15343,Vergi
2024-02-18,Kitap telif gelirleri,10414,0,Diğer Gelir
2024-02-20,Konaklama gideri,0,15219,Lojistik
2024-02-21,Stratejik plan danışmanlığı,52245,0,Satış
2024-02-23,Stratejik plan danışmanlığı,49204,0,Satış
2024-02-24,Kitap telif gelirleri,8581,0,Diğer Gelir
2024-02-25,CRM yazılım abonelik,0,3594,Teknoloji
2024-02-27,Elektrik,0,9151,Fatura
2024-02-28,CRM yazılım abonelik,0,3992,Teknoloji
2024-02-29,Audit ve due diligence ücreti,53641,0,Satış
2024-03-03,Elektrik,0,5137,Fatura
2024-03-05,Ofis kirası,0,32603,Kira
2024-03-05,Şehir dışı müşteri ziyaret,0,6012,Lojistik
2024-03-06,Audit ve due diligence ücreti,46325,0,Satış
2024-03-07,CRM yazılım abonelik,0,5412,Teknoloji
2024-03-08,Stratejik plan danışmanlığı,40460,0,Satış
2024-03-11,Audit ve due diligence ücreti,43513,0,Satış
2024-03-12,CRM yazılım abonelik,0,4165,Teknoloji
2024-03-14,Eğitim ve workshop geliri,43422,0,Satış
2024-03-20,ISO sertifikasyon danışmanlığı,53356,0,Satış
2024-03-20,Veri analiz araçları,0,5018,Teknoloji
2024-03-23,Yönetim danışmanlığı tahsilatı,38652,0,Satış
2024-03-23,Konaklama gideri,0,5421,Lojistik
2024-03-24,LinkedIn Ads,0,11877,Pazarlama
2024-03-25,Süreç iyileştirme proje ödemesi,45457,0,Satış
2024-03-25,Konuşmacı ücreti,21748,0,Diğer Gelir
2024-03-27,Elektrik,0,4220,Fatura
2024-03-29,Asistan maaşı,0,69621,Maaş
2024-03-29,Geçici vergi,0,18369,Vergi
2024-03-30,Kıdemli danışman maaşları,0,66261,Maaş
2024-03-30,Uçak bileti,0,6098,Lojistik
2024-04-01,Office 365,0,16012,Teknoloji
2024-04-07,Kıdemli danışman maaşları,0,149031,Maaş
2024-04-08,Web site bakımı,0,11639,Pazarlama
2024-04-09,Levent ofis kira,0,29504,Kira
