tarih,aciklama,gelir,gider,kategori
2024-01-01,Yerli üretici sipariş,0,20427,Tedarik
2024-01-02,KDV ödemesi,0,16603,Vergi
2024-01-03,Kendi site ödemeleri,16600,0,Satış
2024-01-03,Black Friday satış patlaması,13440,0,Satış
2024-01-03,Meta reklam harcaması,0,14518,Pazarlama
2024-01-04,Instagram shopping satış,15148,0,Satış
2024-01-04,Black Friday satış patlaması,16073,0,Satış
2024-01-04,İthalat sipariş ödemesi,0,18531,Tedarik
2024-01-04,Kargo ödeme Aras,0,7805,Lojistik
2024-01-04,Kargo ödeme Aras,0,7215,Lojistik
2024-01-04,Paketleme malzemeleri,0,7773,Lojistik
2024-01-05,WhatsApp sipariş tahsilat,14381,0,Satış
2024-01-05,Ofis kirası,0,15676,Kira
2024-01-07,Amazon satış,14843,0,Satış
2024-01-07,Black Friday satış patlaması,15665,0,Satış
2024-01-08,Instagram shopping satış,15152,0,Satış
2024-01-09,Instagram shopping satış,17666,0,Satış
2024-01-09,Kargo ödeme Aras,0,7673,Lojistik
2024-01-10,Hepsiburada sipariş,12610,0,Satış
2024-01-10,ERP yazılım ücreti,0,5723,Teknoloji
2024-01-14,Yılbaşı kampanya satışı,14678,0,Satış
2024-01-14,WhatsApp sipariş tahsilat,13856,0,Satış
2024-01-15,Yılbaşı kampanya satışı,12836,0,Satış
2024-01-15,Yılbaşı kampanya satışı,12219,0,Satış
2024-01-16,Trendyol satış geliri,12638,0,Satış
2024-01-16,İthalat sipariş ödemesi,0,17904,Tedarik
2024-01-16,TikTok ads ödeme,0,16152,Pazarlama
2024-01-17,Black Friday satış patlaması,15792,0,Satış
2024-01-17,Kargo ödeme Aras,0,7584,Lojistik
2024-01-18,İthalat sipariş ödemesi,0,20347,Tedarik
2024-01-18,Yerli üretici sipariş,0,18136,Tedarik
2024-01-20,Shopify abonelik,0,5872,Teknoloji
2024-01-21,Depo lojistik ücreti,0,7577,Lojistik
2024-01-23,Kendi site ödemeleri,13085,0,Satış
2024-01-23,Pazarlama uzmanı maaşı,0,20853,Maaş
2024-01-24,Amazon satış,15421,0,Satış
2024-01-24,WhatsApp sipariş tahsilat,13212,0,Satış
2024-01-25,SEO ajans hizmet bedeli,0,16035,Pazarlama
2024-01-27,Black Friday satış patlaması,16053,0,Satış
2024-01-27,WhatsApp sipariş tahsilat,16288,0,Satış
2024-01-27,Stok alımı toptancı,0,21661,Tedarik
2024-01-27,Tedarikçi avans ödemesi,0,21584,Tedarik
2024-01-27,AWS bulut faturası,0,7300,Teknoloji
2024-01-28,Black Friday satış patlaması,17782,0,Satış
2024-01-29,Trendyol satış geliri,16799,0,Satış
2024-01-29,Kendi site ödemeleri,15790,0,Satış
2024-01-29,Pazarlama uzmanı maaşı,0,20326,Maaş
2024-01-31,Black Friday satış patlaması,17609,0,Satış
2024-02-01,TikTok ads ödeme,0,14721,Pazarlama
2024-02-01,Geçici vergi,0,15178,Vergi
2024-02-02,WhatsApp sipariş tahsilat,12918,0,Satış
2024-02-02,İthalat sipariş ödemesi,0,22626,Tedarik
2024-02-03,Yurtiçi kargo faturası,0,10670,Lojistik
2024-02-04,Instagram shopping satış,17747,0,Satış
2024-02-04,Hepsiburada sipariş,13156,0,Satış
2024-02-04,Tedarikçi avans ödemesi,0,25749,Tedarik
2024-02-04,Yurtiçi kargo faturası,0,10142,Lojistik
2024-02-05,Kendi site ödemeleri,12873,0,Satış
2024-02-08,Hepsiburada sipariş,16051,0,Satış
2024-02-09,Instagram shopping satış,14364,0,Satış
2024-02-09,Stok alımı toptancı,0,25200,Tedarik
2024-02-09,E-fatura entegrasyon ücreti,0,9408,Teknoloji
2024-02-10,WhatsApp sipariş tahsilat,17001,0,Satış
2024-02-11,Trendyol satış geliri,17371,0,Satış
2024-02-11,Kendi site ödemeleri,12268,0,Satış
2024-02-11,Amazon satış,12909,0,Satış
2024-02-11,Amazon satış,17273,0,Satış
2024-02-11,Affiliate komisyon geliri,18022,0,Diğer Gelir
2024-02-12,Amazon satış,12721,0,Satış
2024-02-12,Instagram shopping satış,16873,0,Satış
2024-02-12,Hepsiburada sipariş,12424,0,Satış
2024-02-14,İthalat sipariş ödemesi,0,22239,Tedarik
2024-02-15,Hepsiburada sipariş,17439,0,Satış
2024-02-15,Ofis kirası,0,18878,Kira
2024-02-16,MNG kargo ödemesi,0,13158,Lojistik
2024-02-17,Trendyol satış geliri,15879,0,Satış
2024-02-17,Hepsiburada sipariş,12828,0,Satış
2024-02-17,Trendyol satış geliri,16248,0,Satış
2024-02-18,TikTok ads ödeme,0,16408,Pazarlama
2024-02-19,Hepsiburada sipariş,14148,0,Satış
2024-02-19,İthalat sipariş ödemesi,0,21039,Tedarik
2024-02-19,Shopify abonelik,0,11449,Teknoloji
2024-02-20,Kendi site ödemeleri,13613,0,Satış
2024-02-22,Kendi site ödemeleri,17727,0,Satış
2024-02-22,Black Friday satış patlaması,13543,0,Satış
2024-02-22,İthalat sipariş ödemesi,0,22570,Tedarik
2024-02-23,Google Ads kampanyası,0,14283,Pazarlama
2024-02-24,Yılbaşı kampanya satışı,13376,0,Satış
2024-02-25,Instagram shopping satış,15975,0,Satış
2024-02-25,WhatsApp sipariş tahsilat,15278,0,Satış
2024-02-25,Black Friday satış patlaması,15012,0,Satış
2024-02-25,Tedarikçi avans ödemesi,0,26317,Tedarik
2024-02-27,Black Friday satış patlaması,13912,0,Satış
2024-02-28,Depo personeli maaşları,0,48898,Maaş
2024-02-29,Yılbaşı kampanya satışı,16181,0,Satış
2024-02-29,Yurtiçi kargo faturası,0,11514,Lojistik
2024-03-01,Hepsiburada sipariş,21627,0,Satış
2024-03-01,Meta reklam harcaması,0,13309,Pazarlama
2024-03-02,Trendyol satış geliri,20936,0,Satış
2024-03-03,Kendi site ödemeleri,29040,0,Satış
2024-03-04,Kendi site ödemeleri,22533,0,Satış
2024-03-04,SEO ajans hizmet bedeli,0,14228,Pazarlama
2024-03-05,Yılbaşı kampanya satışı,28314,0,Satış
2024-03-06,Yılbaşı kampanya satışı,20463,0,Satış
2024-03-07,Trendyol satış geliri,29326,0,Satış
2024-03-07,İthalat sipariş ödemesi,0,34965,Tedarik
2024-03-09,Stok alımı toptancı,0,35399,Tedarik
2024-03-09,Google Ads kampanyası,0,12173,Pazarlama
2024-03-10,SEO ajans hizmet bedeli,0,11738,Pazarlama
2024-03-11,Stok alımı toptancı,0,35386,Tedarik
2024-03-12,Affiliate komisyon geliri,12121,0,Diğer Gelir
2024-03-12,Stok alımı toptancı,0,28578,Tedarik
2024-03-13,Hepsiburada sipariş,28230,0,Satış
2024-03-14,Depo personeli maaşları,0,52512,Maaş
2024-03-16,Ofis kirası,0,20158,Kira
2024-03-17,Stok alımı toptancı,0,30338,Tedarik
2024-03-19,Trendyol satış geliri,22662,0,Satış
2024-03-19,Amazon satış,28928,0,Satış
2024-03-19,Paketleme malzemeleri,0,14553,Lojistik
2024-03-20,Hepsiburada sipariş,21942,0,Satış
2024-03-20,Shopify abonelik,0,13376,Teknoloji
2024-03-21,Black Friday satış patlaması,22650,0,Satış
2024-03-21,WhatsApp sipariş tahsilat,22005,0,Satış
2024-03-21,Kargo ödeme Aras,0,14317,Lojistik
2024-03-22,WhatsApp sipariş tahsilat,21365,0,Satış
2024-03-23,Black Friday satış patlaması,26417,0,Satış
2024-03-24,Tedarikçi avans ödemesi,0,33850,Tedarik
2024-03-24,Paketleme malzemeleri,0,12144,Lojistik
2024-03-24,Depo lojistik ücreti,0,14528,Lojistik
2024-03-26,Instagram shopping satış,28419,0,Satış
2024-03-27,Stopaj vergisi,0,19207,Vergi
2024-03-29,Amazon satış,22691,0,Satış
2024-03-29,Hepsiburada sipariş,26923,0,Satış
2024-03-30,Hepsiburada sipariş,21659,0,Satış
2024-03-30,Affiliate komisyon geliri,9066,0,Diğer Gelir
2024-03-31,Hepsiburada sipariş,24021,0,Satış
2024-03-31,ERP yazılım ücreti,0,14430,Teknoloji
2024-04-02,Kendi site ödemeleri,22108,0,Satış
2024-04-03,Paketleme malzemeleri,0,9329,Lojistik
2024-04-05,Affiliate komisyon geliri,8224,0,Diğer Gelir
2024-04-05,Yerli üretici sipariş,0,36539,Tedarik
2024-04-05,Paketleme malzemeleri,0,7990,Lojistik
2024-04-06,WhatsApp sipariş tahsilat,19384,0,Satış
2024-04-07,Amazon satış,22743,0,Satış
2024-04-07,Shopify abonelik,0,11683,Teknoloji
2024-04-08,WhatsApp sipariş tahsilat,18568,0,Satış
2024-04-10,Kargo ödeme Aras,0,9274,Lojistik
2024-04-10,Google Ads kampanyası,0,14061,Pazarlama
2024-04-12,Instagram shopping satış,19959,0,Satış
2024-04-13,Kendi site ödemeleri,19676,0,Satış
2024-04-13,Affiliate komisyon geliri,9931,0,Diğer Gelir
2024-04-14,İthalat sipariş ödemesi,0,37926,Tedarik
2024-04-14,AWS bulut faturası,0,11844,Teknoloji
2024-04-15,Yılbaşı kampanya satışı,18348,0,Satış
2024-04-15,Depo kira ödemesi,0,23476,Kira
2024-04-16,Yurtiçi kargo faturası,0,8502,Lojistik
2024-04-17,Yılbaşı kampanya satışı,18078,0,Satış
2024-04-19,Hepsiburada sipariş,18178,0,Satış
2024-04-19,Yılbaşı kampanya satışı,22345,0,Satış
2024-04-19,İthalat sipariş ödemesi,0,38824,Tedarik
2024-04-20,Depo lojistik ücreti,0,9091,Lojistik
2024-04-21,Kendi site ödemeleri,25112,0,Satış
2024-04-22,Black Friday satış patlaması,20081,0,Satış
2024-04-22,Hepsiburada sipariş,26224,0,Satış
2024-04-22,TikTok ads ödeme,0,13856,Pazarlama
2024-04-23,WhatsApp sipariş tahsilat,22581,0,Satış
2024-04-25,Kendi site ödemeleri,20645,0,Satış
2024-04-25,Hepsiburada sipariş,19282,0,Satış
2024-04-25,Instagram shopping satış,18221,0,Satış
2024-04-26,Amazon satış,22928,0,Satış
2024-04-26,Hepsiburada sipariş,23422,0,Satış
2024-04-26,TikTok ads ödeme,0,14800,Pazarlama
2024-04-27,Depo personeli maaşları,0,50257,Maaş
2024-04-27,Stopaj vergisi,0,18020,Vergi
2024-04-28,Tedarikçi avans ödemesi,0,40133,Tedarik
2024-04-28,Tedarikçi avans ödemesi,0,34008,Tedarik
2024-04-29,Hepsiburada sipariş,20885,0,Satış
2024-04-29,Influencer iş birliği,0,13393,Pazarlama
2024-04-30,Trendyol satış geliri,25293,0,Satış
2024-04-30,Black Friday satış patlaması,19726,0,Satış
2024-04-30,Depo lojistik ücreti,0,10018,Lojistik
2024-05-01,Amazon satış,21194,0,Satış
2024-05-01,Black Friday satış patlaması,18115,0,Satış
2024-05-01,KDV ödemesi,0,21488,Vergi
2024-05-02,Amazon satış,22026,0,Satış
2024-05-03,WhatsApp sipariş tahsilat,20920,0,Satış
2024-05-04,Instagram shopping satış,20039,0,Satış
2024-05-04,Yılbaşı kampanya satışı,16473,0,Satış
2024-05-05,Black Friday satış patlaması,23190,0,Satış
2024-05-06,Black Friday satış patlaması,19883,0,Satış
2024-05-07,Influencer iş birliği,0,15827,Pazarlama
2024-05-07,Shopify abonelik,0,13690,Teknoloji
2024-05-08,Kendi site ödemeleri,22767,0,Satış
2024-05-08,WhatsApp sipariş tahsilat,21874,0,Satış
2024-05-09,Black Friday satış patlaması,17789,0,Satış
2024-05-09,SEO ajans hizmet bedeli,0,12505,Pazarlama
2024-05-10,Stok alımı toptancı,0,39532,Tedarik
2024-05-10,Shopify abonelik,0,12431,Teknoloji
2024-05-13,WhatsApp sipariş tahsilat,24268,0,Satış
2024-05-13,Instagram shopping satış,19262,0,Satış
2024-05-13,Paketleme malzemeleri,0,11895,Lojistik
2024-05-14,MNG kargo ödemesi,0,13288,Lojistik
2024-05-15,Hepsiburada sipariş,16427,0,Satış
2024-05-16,Trendyol satış geliri,19944,0,Satış
2024-05-17,Black Friday satış patlaması,21677,0,Satış
2024-05-18,Black Friday satış patlaması,21968,0,Satış
2024-05-19,Amazon satış,18848,0,Satış
2024-05-19,Amazon satış,17405,0,Satış
2024-05-20,Yerli üretici sipariş,0,46356,Tedarik
2024-05-22,Amazon satış,23387,0,Satış
2024-05-23,Kendi site ödemeleri,19864,0,Satış
2024-05-23,Tedarikçi avans ödemesi,0,45246,Tedarik
2024-05-23,Depo lojistik ücreti,0,10359,Lojistik
2024-05-23,Meta reklam harcaması,0,16557,Pazarlama
2024-05-25,Stok alımı toptancı,0,44483,Tedarik
2024-05-26,Ofis kirası,0,24388,Kira
2024-05-27,Black Friday satış patlaması,22358,0,Satış
2024-05-27,Amazon satış,22338,0,Satış
2024-05-27,Trendyol satış geliri,17744,0,Satış
2024-05-27,Google Ads kampanyası,0,12950,Pazarlama
2024-05-27,Pazarlama uzmanı maaşı,0,59506,Maaş
2024-05-28,Paketleme malzemeleri,0,13307,Lojistik
2024-05-28,MNG kargo ödemesi,0,11302,Lojistik
2024-05-29,Black Friday satış patlaması,23945,0,Satış
2024-05-29,Tedarikçi avans ödemesi,0,37330,Tedarik
2024-05-30,Yılbaşı kampanya satışı,17834,0,Satış
2024-06-01,Yurtiçi kargo faturası,0,8097,Lojistik
2024-06-02,Tedarikçi avans ödemesi,0,29636,Tedarik
2024-06-03,Hepsiburada sipariş,20150,0,Satış
2024-06-03,Yerli üretici sipariş,0,32820,Tedarik
