tarih,aciklama,gelir,gider,kategori
2024-01-01,Yardımcı personel maaşı,0,36777,Maaş
2024-01-01,Stopaj,0,20107,Vergi
2024-01-03,Elektrik,0,4545,Fatura
2024-01-05,Yardımcı personel maaşı,0,41472,Maaş
2024-01-08,Bebek bakım ürünleri,28919,0,Satış
2024-01-09,Eczane kira ödemesi,0,33021,Kira
2024-01-10,SGK reçete tahsilatı,28440,0,Satış
2024-01-10,SGK reçete tahsilatı,25542,0,Satış
2024-01-10,Bebek bakım ürünleri,29174,0,Satış
2024-01-10,İlaç toptancı sipariş (depo),0,64546,Tedarik
2024-01-11,Reçeteli ilaç satışı,30303,0,Satış
2024-01-12,Bebek bakım ürünleri,30142,0,Satış
2024-01-13,Eczane otomasyon yazılım abonelik,0,5532,Teknoloji
2024-01-15,SGK reçete tahsilatı,29613,0,Satış
2024-01-15,Medikal ürün satışı,24947,0,Satış
2024-01-15,Reçetesiz ürün stoğu,0,54859,Tedarik
2024-01-15,İnternet,0,5625,Fatura
2024-01-17,Reçeteli ilaç satışı,32947,0,Satış
2024-01-17,Dermokozmetik satış,25278,0,Satış
2024-01-17,OTC ilaç satışı,28521,0,Satış
2024-01-20,Poşet ve ambalaj,0,5298,Sarf
2024-01-22,Bebek bakım ürünleri,31371,0,Satış
2024-01-23,Bebek ürünleri stoğu,0,62270,Tedarik
2024-01-24,Reçeteli ilaç satışı,31342,0,Satış
2024-01-24,OTC ilaç satışı,33066,0,Satış
2024-01-24,Medikal sarf tedariği,0,64148,Tedarik
2024-01-25,OTC ilaç satışı,32963,0,Satış
2024-01-26,Reçeteli ilaç satışı,32817,0,Satış
2024-01-26,Reçetesiz ürün geliri,26393,0,Satış
2024-01-27,İlaç toptancı sipariş (depo),0,52348,Tedarik
2024-01-29,SGK reçete tahsilatı,26717,0,Satış
2024-01-29,Elektrik,0,5287,Fatura
2024-01-30,Reçeteli ilaç satışı,31574,0,Satış
2024-01-31,Reçetesiz ürün stoğu,0,62775,Tedarik
2024-02-01,SGK reçete tahsilatı,25011,0,Satış
2024-02-01,İnternet,0,4365,Fatura
2024-02-02,Dermokozmetik satış,32979,0,Satış
2024-02-02,Eczane kira ödemesi,0,38172,Kira
2024-02-02,Elektrik,0,4992,Fatura
2024-02-04,OTC ilaç satışı,26551,0,Satış
2024-02-04,Reçeteli ilaç satışı,33102,0,Satış
2024-02-04,Reçetesiz ürün stoğu,0,31869,Tedarik
2024-02-04,Elektrik,0,4220,Fatura
2024-02-05,KDV,0,18671,Vergi
2024-02-07,Medikal ürün satışı,29554,0,Satış
2024-02-09,Bebek ürünleri stoğu,0,38358,Tedarik
2024-02-09,Poşet ve ambalaj,0,2806,Sarf
2024-02-10,Yardımcı personel maaşı,0,80457,Maaş
2024-02-11,Reçetesiz ürün geliri,26028,0,Satış
2024-02-11,Bebek bakım ürünleri,30003,0,Satış
2024-02-11,Eczane otomasyon yazılım abonelik,0,5133,Teknoloji
2024-02-13,Bebek bakım ürünleri,28488,0,Satış
2024-02-14,Dermokozmetik tedarik,0,36907,Tedarik
2024-02-15,Dermokozmetik tedarik,0,36040,Tedarik
2024-02-16,Reçetesiz ürün geliri,33003,0,Satış
2024-02-16,Poşet ve ambalaj,0,2716,Sarf
2024-02-17,Dermokozmetik tedarik,0,34432,Tedarik
2024-02-18,OTC ilaç satışı,28992,0,Satış
2024-02-19,Reçeteli ilaç satışı,29303,0,Satış
2024-02-20,Reçetesiz ürün geliri,32022,0,Satış
2024-02-20,Bebek ürünleri stoğu,0,36422,Tedarik
2024-02-21,Reçeteli ilaç satışı,33069,0,Satış
2024-02-21,Bebek ürünleri stoğu,0,29920,Tedarik
2024-02-22,Bebek bakım ürünleri,31431,0,Satış
2024-02-24,Medikal sarf tedariği,0,31639,Tedarik
2024-02-25,OTC ilaç satışı,26163,0,Satış
2024-02-26,Dermokozmetik satış,23688,0,Satış
2024-02-27,OTC ilaç satışı,30643,0,Satış
2024-02-28,Bebek ürünleri stoğu,0,32676,Tedarik
2024-02-28,Reçetesiz ürün stoğu,0,36086,Tedarik
2024-02-29,Medikal ürün satışı,25182,0,Satış
2024-03-01,SGK reçete tahsilatı,23463,0,Satış
2024-03-01,SGK reçete tahsilatı,23644,0,Satış
2024-03-04,OTC ilaç satışı,16703,0,Satış
2024-03-04,İnternet,0,4818,Fatura
2024-03-05,"Ölçüm hizmet ücreti (tansiyon, kan şekeri)",9063,0,Diğer Gelir
2024-03-05,Reçetesiz ürün stoğu,0,36601,Tedarik
2024-03-08,Bebek bakım ürünleri,19147,0,Satış
2024-03-09,Dermokozmetik satış,19188,0,Satış
2024-03-09,Kırtasiye,0,2445,Sarf
2024-03-10,Dermokozmetik tedarik,0,36973,Tedarik
2024-03-10,Eczane otomasyon yazılım abonelik,0,4478,Teknoloji
