tarih,aciklama,gelir,gider,kategori
2024-01-02,Google Ads,0,5678,Pazarlama
2024-01-03,Yaz okulu kaydı (düşük dönem),18655,0,Satış
2024-01-03,Kurs binası kirası,0,36988,Kira
2024-01-05,Yaz okulu kaydı (düşük dönem),14027,0,Satış
2024-01-06,Online kurs satışı,19174,0,Satış
2024-01-07,Stopaj,0,9075,Vergi
2024-01-08,LGS deneme sınavı geliri,19255,0,Satış
2024-01-13,YKS hazırlık paketi,16550,0,Satış
2024-01-14,Hızlı okuma eğitimi geliri,19105,0,Satış
2024-01-14,Hızlı okuma eğitimi geliri,16664,0,Satış
2024-01-14,Google Ads,0,5251,Pazarlama
2024-01-16,Kırtasiye toptan,0,11032,Tedarik
2024-01-17,Eğitim yazılımı abonelik,0,3637,Teknoloji
2024-01-20,Online kurs satışı,17976,0,Satış
2024-01-20,İdari personel maaşı,0,59984,Maaş
2024-01-20,Veli toplantı organizasyonu,0,5645,Pazarlama
2024-01-20,İnternet,0,4536,Fatura
2024-01-21,İdari personel maaşı,0,60897,Maaş
2024-01-21,Telefon,0,4378,Fatura
2024-01-23,MEB protokol ödemesi,13469,0,Devlet Desteği
2024-01-24,Aylık kurs ücreti tahsilatı,17897,0,Satış
2024-01-24,Yıllık kayıt ücreti,17879,0,Satış
2024-01-25,YKS hazırlık paketi,20399,0,Satış
2024-01-28,Yıllık kayıt ücreti,18612,0,Satış
2024-01-28,Instagram reklam,0,5423,Pazarlama
2024-01-29,LGS deneme sınavı geliri,14741,0,Satış
2024-01-30,LGS deneme sınavı geliri,18918,0,Satış
2024-02-01,Online kurs satışı,25476,0,Satış
2024-02-01,Instagram reklam,0,5066,Pazarlama
2024-02-02,Yaz okulu kaydı (düşük dönem),26501,0,Satış
2024-02-03,Kitap ve yayın alımı,0,9854,Tedarik
2024-02-05,Aylık kurs ücreti tahsilatı,33204,0,Satış
2024-02-05,Instagram reklam,0,4368,Pazarlama
2024-02-05,Tabela ve broşür,0,4138,Pazarlama
2024-02-06,LGS deneme sınavı geliri,28902,0,Satış
2024-02-13,LGS deneme sınavı geliri,25908,0,Satış
2024-02-18,Öğretmen maaşları,0,115715,Maaş
2024-02-22,Yaz okulu kaydı (düşük dönem),32647,0,Satış
2024-02-23,Hızlı okuma eğitimi geliri,31533,0,Satış
2024-02-23,Elektrik,0,4108,Fatura
2024-02-26,Google Ads,0,4661,Pazarlama
2024-02-26,Telefon,0,4941,Fatura
2024-02-27,Yıllık kayıt ücreti,33599,0,Satış
2024-02-27,MEB protokol ödemesi,12597,0,Devlet Desteği
2024-02-27,Kurs binası kirası,0,34139,Kira
2024-02-29,KDV,0,8076,Vergi
2024-03-02,YKS hazırlık paketi,29294,0,Satış
2024-03-03,Online kurs satışı,28337,0,Satış
2024-03-04,Stopaj,0,7886,Vergi
2024-03-05,Google Ads,0,4271,Pazarlama
2024-03-08,Öğretmen maaşları,0,50758,Maaş
2024-03-17,Yıllık kayıt ücreti,28530,0,Satış
2024-03-18,Kurs binası kirası,0,30103,Kira
2024-03-18,Kırtasiye toptan,0,12370,Tedarik
2024-03-20,LGS deneme sınavı geliri,29666,0,Satış
2024-03-21,İdari personel maaşı,0,56190,Maaş
2024-03-21,Instagram reklam,0,5393,Pazarlama
2024-03-21,Google Ads,0,5083,Pazarlama
2024-03-23,Hızlı okuma eğitimi geliri,30493,0,Satış
2024-03-25,Hızlı okuma eğitimi geliri,26865,0,Satış
2024-03-25,İnternet,0,5227,Fatura
2024-03-26,İnternet,0,5253,Fatura
2024-03-26,Zoom kurumsal lisans,0,3778,Teknoloji
2024-03-27,Tabela ve broşür,0,5208,Pazarlama
2024-03-28,Online kurs satışı,25526,0,Satış
2024-03-29,LGS deneme sınavı geliri,33165,0,Satış
2024-04-02,İnternet,0,2986,Fatura
2024-04-03,LGS deneme sınavı geliri,23730,0,Satış
2024-04-05,Aylık kurs ücreti tahsilatı,22357,0,Satış
2024-04-05,Kırtasiye toptan,0,5979,Tedarik
2024-04-12,LGS deneme sınavı geliri,21673,0,Satış
2024-04-13,Hızlı okuma eğitimi geliri,18971,0,Satış
2024-04-15,İnternet,0,2484,Fatura
2024-04-16,Google Ads,0,6570,Pazarlama
2024-04-17,Hızlı okuma eğitimi geliri,21112,0,Satış
2024-04-20,Online kurs satışı,21458,0,Satış
2024-04-20,Yaz okulu kaydı (düşük dönem),21764,0,Satış
2024-04-20,Google Ads,0,5234,Pazarlama
2024-04-21,Stopaj,0,7905,Vergi
2024-04-22,YKS hazırlık paketi,23751,0,Satış
2024-04-22,Kurs binası kirası,0,29501,Kira
2024-04-22,Elektrik,0,2541,Fatura
2024-04-23,Öğretmen maaşları,0,101490,Maaş
2024-04-27,Zoom kurumsal lisans,0,3102,Teknoloji
2024-04-28,Google Ads,0,6623,Pazarlama
2024-04-29,Aylık kurs ücreti tahsilatı,23059,0,Satış
2024-04-29,Online kurs satışı,17147,0,Satış
2024-04-29,Kırtasiye toptan,0,5724,Tedarik
2024-05-02,Eğitim yazılımı abonelik,0,2495,Teknoloji
2024-05-04,Veli toplantı organizasyonu,0,6176,Pazarlama
2024-05-04,Instagram reklam,0,6419,Pazarlama
2024-05-06,İnternet,0,2955,Fatura
2024-05-10,Online kurs satışı,21613,0,Satış
2024-05-11,KDV,0,5355,Vergi
2024-05-13,Kırtasiye toptan,0,2479,Tedarik
2024-05-15,Kurs binası kirası,0,28024,Kira
2024-05-15,Telefon,0,3529,Fatura
2024-05-16,Kırtasiye toptan,0,2586,Tedarik
2024-05-17,Yaz okulu kaydı (düşük dönem),28788,0,Satış
2024-05-17,Öğretmen maaşları,0,80288,Maaş
2024-05-18,YKS hazırlık paketi,25402,0,Satış
2024-05-20,Aylık kurs ücreti tahsilatı,25002,0,Satış
2024-05-25,Yıllık kayıt ücreti,24114,0,Satış
2024-05-28,Kırtasiye toptan,0,2750,Tedarik
2024-05-29,Hızlı okuma eğitimi geliri,24864,0,Satış
2024-06-03,LGS deneme sınavı geliri,7653,0,Satış
2024-06-03,Veli toplantı organizasyonu,0,3131,Pazarlama
2024-06-06,YKS hazırlık paketi,9117,0,Satış
2024-06-06,Yıllık kayıt ücreti,9026,0,Satış
2024-06-08,Aylık kurs ücreti tahsilatı,9189,0,Satış
2024-06-08,Telefon,0,894,Fatura
2024-06-09,Telefon,0,1001,Fatura
2024-06-14,Tabela ve broşür,0,2475,Pazarlama
2024-06-19,Kırtasiye toptan,0,1829,Tedarik
2024-06-23,Öğretmen maaşları,0,27396,Maaş
2024-06-23,Kurs binası kirası,0,8944,Kira
2024-06-24,Elektrik,0,971,Fatura
