tarih,aciklama,gelir,gider,kategori
2024-01-01,Avrupa toptan satış tahsilatı,345600,0,Satış
2024-01-01,Konteyner navlun ödemesi,0,76122,Lojistik
2024-01-06,Hammadde alımı,0,233956,Tedarik
2024-01-07,Gümrük müşavir ücreti,0,79473,Lojistik
2024-01-09,Avrupa toptan satış tahsilatı,380700,0,Satış
2024-01-09,Avustralya sipariş ödemesi,353087,0,Satış
2024-01-11,Ofis kirası,0,80427,Kira
2024-01-13,Hammadde alımı,0,224686,Tedarik
2024-01-16,Avustralya sipariş ödemesi,380182,0,Satış
2024-01-18,Avrupa toptan satış tahsilatı,338723,0,Satış
2024-01-22,İngiltere ihracat (GBP) tahsilatı,318111,0,Satış
2024-01-22,Avrupa toptan satış tahsilatı,388118,0,Satış
2024-01-23,Yerli üretici tedarik ödemesi,0,252426,Tedarik
2024-01-23,Konteyner navlun ödemesi,0,79333,Lojistik
2024-01-23,Yurt dışı tanıtım,0,110237,Pazarlama
2024-01-24,Konteyner navlun ödemesi,0,72551,Lojistik
2024-01-24,Gümrük vergisi,0,115009,Vergi
2024-01-26,Yerli üretici tedarik ödemesi,0,267229,Tedarik
2024-01-29,Gümrük müşavir ücreti,0,76785,Lojistik
2024-01-30,İhracat hibe ödemesi,169130,0,Devlet Desteği
2024-01-30,Operasyon ekibi maaşları,0,304902,Maaş
2024-02-04,İngiltere ihracat (GBP) tahsilatı,408982,0,Satış
2024-02-05,Hammadde alımı,0,175418,Tedarik
2024-02-10,Almanya ihracat tahsilatı (EUR),528896,0,Satış
2024-02-10,Gümrük müşavir ücreti,0,205576,Lojistik
2024-02-11,Yarı mamul tedariği,0,169100,Tedarik
2024-02-12,B2B platform üyelik,0,72305,Pazarlama
2024-02-13,Yarı mamul tedariği,0,171582,Tedarik
2024-02-13,Yurt dışı tanıtım,0,60691,Pazarlama
2024-02-14,Operasyon ekibi maaşları,0,159143,Maaş
2024-02-16,Hollanda konteyner ödemesi,416632,0,Satış
2024-02-17,İngiltere ihracat (GBP) tahsilatı,388425,0,Satış
2024-02-18,İngiltere ihracat (GBP) tahsilatı,470749,0,Satış
2024-02-18,Ofis kirası,0,97775,Kira
2024-02-20,Konteyner navlun ödemesi,0,205990,Lojistik
2024-02-20,İhracat departmanı maaşları,0,136704,Maaş
2024-02-21,Gümrük vergisi,0,111317,Vergi
2024-02-22,ABD müşteri ödemesi (USD),555571,0,Satış
2024-02-23,Yarı mamul tedariği,0,180644,Tedarik
2024-02-26,Pazara giriş desteği geri ödemesi,167380,0,Devlet Desteği
2024-02-28,Yarı mamul tedariği,0,153471,Tedarik
2024-02-29,Yerli üretici tedarik ödemesi,0,177548,Tedarik
2024-03-01,Liman elleçleme,0,110915,Lojistik
2024-03-02,Hammadde alımı,0,258020,Tedarik
2024-03-02,Operasyon ekibi maaşları,0,367154,Maaş
2024-03-03,Orta Doğu ihracat geliri,340538,0,Satış
2024-03-05,Yerli üretici tedarik ödemesi,0,216010,Tedarik
2024-03-05,Liman elleçleme,0,108834,Lojistik
2024-03-09,ABD müşteri ödemesi (USD),309620,0,Satış
2024-03-11,Hollanda konteyner ödemesi,329589,0,Satış
2024-03-14,Avrupa toptan satış tahsilatı,303271,0,Satış
2024-03-15,Avrupa toptan satış tahsilatı,316342,0,Satış
2024-03-15,Gümrük vergisi,0,106329,Vergi
2024-03-16,Avustralya sipariş ödemesi,344594,0,Satış
2024-03-16,Hollanda konteyner ödemesi,341586,0,Satış
2024-03-16,Yerli üretici tedarik ödemesi,0,217857,Tedarik
2024-03-17,Almanya ihracat tahsilatı (EUR),368781,0,Satış
2024-03-18,İhracat hibe ödemesi,165673,0,Devlet Desteği
2024-03-18,Yarı mamul tedariği,0,219138,Tedarik
2024-03-19,Ofis kirası,0,109703,Kira
2024-03-23,İngiltere ihracat (GBP) tahsilatı,333696,0,Satış
2024-03-24,Liman elleçleme,0,99655,Lojistik
2024-03-26,Liman elleçleme,0,127891,Lojistik
2024-03-29,Uluslararası fuar katılımı,0,144532,Pazarlama
2024-03-30,Hammadde alımı,0,258857,Tedarik
2024-04-04,Hollanda konteyner ödemesi,302240,0,Satış
2024-04-05,Avrupa toptan satış tahsilatı,304155,0,Satış
2024-04-05,İhracat hibe ödemesi,206377,0,Devlet Desteği
2024-04-07,İhracat danışmanlık hizmeti,0,130823,Danışmanlık
2024-04-09,Hammadde alımı,0,266424,Tedarik
2024-04-11,Liman elleçleme,0,126495,Lojistik
2024-04-11,Uluslararası fuar katılımı,0,85401,Pazarlama
2024-04-13,Yarı mamul tedariği,0,209333,Tedarik
2024-04-14,Avustralya sipariş ödemesi,299082,0,Satış
2024-04-14,Konteyner navlun ödemesi,0,97900,Lojistik
2024-04-16,ABD müşteri ödemesi (USD),310100,0,Satış
2024-04-16,Uluslararası nakliye sigortası,0,110636,Lojistik
2024-04-18,Yerli üretici tedarik ödemesi,0,246025,Tedarik
2024-04-19,Gümrük müşavir ücreti,0,109784,Lojistik
2024-04-19,İhracat departmanı maaşları,0,335722,Maaş
2024-04-20,Avrupa toptan satış tahsilatı,306971,0,Satış
2024-04-20,KDV iade öncesi ödeme,0,138733,Vergi
2024-04-21,Orta Doğu ihracat geliri,366373,0,Satış
2024-04-23,Yarı mamul tedariği,0,253016,Tedarik
2024-04-23,Ofis kirası,0,91164,Kira
2024-04-24,Yarı mamul tedariği,0,209619,Tedarik
2024-04-27,ABD müşteri ödemesi (USD),407636,0,Satış
2024-04-27,Avrupa toptan satış tahsilatı,295530,0,Satış
2024-04-30,Hollanda konteyner ödemesi,390613,0,Satış
2024-04-30,B2B platform üyelik,0,68682,Pazarlama
2024-05-02,Yarı mamul tedariği,0,244491,Tedarik
2024-05-04,Avustralya sipariş ödemesi,676688,0,Satış
2024-05-05,Uluslararası nakliye sigortası,0,89839,Lojistik
2024-05-07,Konteyner navlun ödemesi,0,82121,Lojistik
2024-05-11,Pazara giriş desteği geri ödemesi,188554,0,Devlet Desteği
2024-05-12,Uluslararası nakliye sigortası,0,97529,Lojistik
2024-05-14,Hammadde alımı,0,243566,Tedarik
2024-05-15,Yarı mamul tedariği,0,245023,Tedarik
2024-05-16,Almanya ihracat tahsilatı (EUR),654040,0,Satış
2024-05-16,Yurt dışı tanıtım,0,74119,Pazarlama
2024-05-17,Yurt dışı tanıtım,0,81800,Pazarlama
2024-05-18,Hammadde alımı,0,200928,Tedarik
2024-05-18,Gümrük vergisi,0,62959,Vergi
2024-05-19,Yarı mamul tedariği,0,223685,Tedarik
2024-05-20,Gümrük vergisi,0,52183,Vergi
2024-05-22,Depo kira,0,84824,Kira
2024-05-23,Avustralya sipariş ödemesi,901261,0,Satış
2024-05-23,Operasyon ekibi maaşları,0,159108,Maaş
2024-05-23,İhracat departmanı maaşları,0,170282,Maaş
2024-05-26,Gümrük müşavir ücreti,0,94420,Lojistik
2024-05-27,Almanya ihracat tahsilatı (EUR),767354,0,Satış
2024-05-31,Uluslararası nakliye sigortası,0,89301,Lojistik
2024-06-01,İhracat departmanı maaşları,0,248019,Maaş
2024-06-03,Liman elleçleme,0,182390,Lojistik
2024-06-03,Yurt dışı tanıtım,0,68227,Pazarlama
2024-06-04,Avrupa toptan satış tahsilatı,334408,0,Satış
2024-06-06,KDV iade öncesi ödeme,0,52225,Vergi
2024-06-11,Gümrük müşavir ücreti,0,218294,Lojistik
2024-06-13,İngiltere ihracat (GBP) tahsilatı,311882,0,Satış
2024-06-14,Almanya ihracat tahsilatı (EUR),261157,0,Satış
2024-06-15,Orta Doğu ihracat geliri,356403,0,Satış
2024-06-15,Hammadde alımı,0,238756,Tedarik
2024-06-17,B2B platform üyelik,0,62953,Pazarlama
2024-06-18,Avustralya sipariş ödemesi,295032,0,Satış
2024-06-20,Avrupa toptan satış tahsilatı,284857,0,Satış
2024-06-21,Ofis kirası,0,91475,Kira
2024-06-25,Yarı mamul tedariği,0,266466,Tedarik
2024-06-27,İngiltere ihracat (GBP) tahsilatı,343242,0,Satış
2024-06-27,ABD müşteri ödemesi (USD),355909,0,Satış
