tarih,aciklama,gelir,gider,kategori
2024-01-01,Yurt içi distribütör tahsilatı,367532,0,Satış
2024-01-03,Su faturası,0,28894,Fatura
2024-01-03,Doğal gaz,0,35138,Fatura
2024-01-05,ÖTV ödemesi,0,48859,Vergi
2024-01-09,Hammadde alımı (çelik),0,116458,Tedarik
2024-01-11,Kurumsal sipariş ödemesi,462328,0,Satış
2024-01-11,Hammadde alımı (çelik),0,154108,Tedarik
2024-01-12,Kalıp ve aparat alımı,0,110012,Üretim
2024-01-16,Bayi sipariş tahsilatı,328587,0,Satış
2024-01-16,Forklift yakıt,0,30383,Lojistik
2024-01-17,Kalite kontrol cihaz,0,109294,Üretim
2024-01-18,Yarı mamul tedarik,0,145442,Tedarik
2024-01-18,Ofis personeli maaşı,0,448066,Maaş
2024-01-19,Yarı mamul tedarik,0,155080,Tedarik
2024-01-20,Devlet hibe ödemesi,37222,0,Diğer Gelir
2024-01-21,İthal makine parça,0,134149,Tedarik
2024-01-23,Sözleşmeli üretim geliri,366375,0,Satış
2024-01-23,Fabrika kira ödemesi,0,73574,Kira
2024-01-25,Toptan müşteri sevkiyat ödemesi,322224,0,Satış
2024-01-26,Yurt içi taşıma,0,36564,Lojistik
2024-01-27,Hurda satışı,36612,0,Diğer Gelir
2024-01-27,Elektrik faturası (yüksek tüketim),0,34436,Fatura
2024-02-01,Yurt içi distribütör tahsilatı,278827,0,Satış
2024-02-01,Kurumsal sipariş ödemesi,249475,0,Satış
2024-02-01,Yarı mamul tedarik,0,95013,Tedarik
2024-02-02,Toptan müşteri sevkiyat ödemesi,261295,0,Satış
2024-02-04,Kurumsal sipariş ödemesi,314196,0,Satış
2024-02-04,Elektrik faturası (yüksek tüketim),0,27908,Fatura
2024-02-05,Ofis personeli maaşı,0,245135,Maaş
2024-02-06,Ofis personeli maaşı,0,237188,Maaş
2024-02-07,Yurt içi distribütör tahsilatı,237977,0,Satış
2024-02-07,Plastik granül alımı,0,89304,Tedarik
2024-02-07,Kalite kontrol cihaz,0,73217,Üretim
2024-02-08,Yarı mamul tedarik,0,85901,Tedarik
2024-02-10,Hammadde alımı (çelik),0,95008,Tedarik
2024-02-10,Su faturası,0,28835,Fatura
2024-02-12,İthal makine parça,0,93222,Tedarik
2024-02-13,Üretim sarf malzeme,0,60499,Üretim
2024-02-14,Üretim sarf malzeme,0,67570,Üretim
2024-02-15,Kurumsal sipariş ödemesi,238728,0,Satış
2024-02-15,Hurda satışı,36064,0,Diğer Gelir
2024-02-16,Yurt içi taşıma,0,34033,Lojistik
2024-02-20,Toptan müşteri sevkiyat ödemesi,215210,0,Satış
2024-02-20,Doğal gaz,0,25828,Fatura
2024-02-21,Kimyasal tedarik,0,96408,Tedarik
2024-02-21,Elektrik faturası (yüksek tüketim),0,24113,Fatura
2024-02-24,Hurda satışı,41412,0,Diğer Gelir
2024-02-24,Plastik granül alımı,0,99398,Tedarik
2024-02-24,Yurt içi taşıma,0,36998,Lojistik
2024-02-24,ÖTV ödemesi,0,49747,Vergi
2024-02-28,Depo kira,0,86511,Kira
2024-02-29,Yurt içi distribütör tahsilatı,281492,0,Satış
2024-02-29,Kimyasal tedarik,0,88902,Tedarik
2024-03-01,Hurda satışı,49853,0,Diğer Gelir
2024-03-04,Üretim işçileri maaşları,0,466955,Maaş
2024-03-06,Elektrik faturası (yüksek tüketim),0,41058,Fatura
2024-03-07,Sözleşmeli üretim geliri,359486,0,Satış
2024-03-09,Kimyasal tedarik,0,199739,Tedarik
2024-03-09,Üretim sarf malzeme,0,52257,Üretim
2024-03-09,Depo kira,0,89152,Kira
2024-03-11,Devlet hibe ödemesi,41661,0,Diğer Gelir
2024-03-13,Kalite kontrol cihaz,0,56293,Üretim
2024-03-15,Sözleşmeli üretim geliri,507872,0,Satış
2024-03-15,Plastik granül alımı,0,189297,Tedarik
2024-03-16,İthal makine parça,0,170075,Tedarik
2024-03-16,Yurt içi taşıma,0,77035,Lojistik
2024-03-19,Kalite kontrol cihaz,0,48222,Üretim
2024-03-20,Kalite kontrol cihaz,0,54363,Üretim
2024-03-20,KDV ödemesi,0,56188,Vergi
2024-03-22,Kimyasal tedarik,0,173564,Tedarik
2024-03-27,Yurt içi distribütör tahsilatı,510566,0,Satış
2024-03-27,Sözleşmeli üretim geliri,515661,0,Satış
2024-03-29,Yurt içi distribütör tahsilatı,410213,0,Satış
2024-03-31,Doğal gaz,0,35541,Fatura
2024-03-31,Elektrik faturası (yüksek tüketim),0,31828,Fatura
2024-04-01,İthal makine parça,0,123066,Tedarik
2024-04-02,Devlet hibe ödemesi,81892,0,Diğer Gelir
2024-04-03,ÖTV ödemesi,0,59915,Vergi
2024-04-11,Kalite kontrol cihaz,0,41213,Üretim
2024-04-11,Fabrika kira ödemesi,0,98472,Kira
2024-04-13,Toptan müşteri sevkiyat ödemesi,507511,0,Satış
2024-04-13,İthal makine parça,0,125521,Tedarik
2024-04-13,Su faturası,0,24679,Fatura
2024-04-14,Su faturası,0,31121,Fatura
2024-04-15,Sözleşmeli üretim geliri,430269,0,Satış
2024-04-15,Yurt içi taşıma,0,76090,Lojistik
2024-04-17,Bayi sipariş tahsilatı,439013,0,Satış
2024-04-17,Bayi sipariş tahsilatı,438153,0,Satış
2024-04-17,Sözleşmeli üretim geliri,401130,0,Satış
2024-04-17,Mühendis maaşları,0,265243,Maaş
2024-04-17,Üretim sarf malzeme,0,45651,Üretim
2024-04-18,Üretim sarf malzeme,0,49121,Üretim
2024-04-19,Üretim sarf malzeme,0,44375,Üretim
2024-04-20,Hammadde alımı (çelik),0,131624,Tedarik
2024-04-21,Doğal gaz,0,30488,Fatura
2024-04-22,Hammadde alımı (çelik),0,125797,Tedarik
2024-04-22,Kimyasal tedarik,0,148728,Tedarik
2024-04-27,Ofis personeli maaşı,0,250160,Maaş
2024-04-28,Elektrik faturası (yüksek tüketim),0,27710,Fatura
2024-04-29,Makine bakım ve revizyon,0,40117,Üretim
2024-04-30,Kimyasal tedarik,0,136456,Tedarik
2024-05-02,İthal makine parça,0,97691,Tedarik
2024-05-04,Plastik granül alımı,0,103217,Tedarik
2024-05-05,Ofis personeli maaşı,0,283881,Maaş
2024-05-05,Kalite kontrol cihaz,0,39093,Üretim
2024-05-05,KDV ödemesi,0,56274,Vergi
2024-05-06,Doğal gaz,0,53282,Fatura
2024-05-07,Kurumsal sipariş ödemesi,460952,0,Satış
2024-05-09,Hammadde alımı (çelik),0,84278,Tedarik
2024-05-09,Plastik granül alımı,0,86933,Tedarik
2024-05-09,Kalite kontrol cihaz,0,45551,Üretim
2024-05-10,Bayi sipariş tahsilatı,412821,0,Satış
2024-05-10,Makine bakım ve revizyon,0,41240,Üretim
2024-05-11,Yurt içi taşıma,0,34634,Lojistik
2024-05-13,Mühendis maaşları,0,228140,Maaş
2024-05-14,Makine bakım ve revizyon,0,47789,Üretim
2024-05-16,Plastik granül alımı,0,92555,Tedarik
2024-05-19,Hammadde alımı (çelik),0,100160,Tedarik
2024-05-20,Doğal gaz,0,50869,Fatura
2024-05-21,Plastik granül alımı,0,101128,Tedarik
2024-05-24,Depo kira,0,86731,Kira
2024-05-25,Kurumsal sipariş ödemesi,530863,0,Satış
2024-05-30,Kurumsal sipariş ödemesi,555034,0,Satış
2024-05-30,Kimyasal tedarik,0,105181,Tedarik
2024-05-30,Kalıp ve aparat alımı,0,42051,Üretim
2024-05-30,Forklift yakıt,0,41822,Lojistik
2024-05-31,Kurumsal sipariş ödemesi,524383,0,Satış
2024-06-01,Makine bakım ve revizyon,0,98568,Üretim
2024-06-02,Mühendis maaşları,0,482475,Maaş
2024-06-02,Doğal gaz,0,32921,Fatura
2024-06-04,Bayi sipariş tahsilatı,226983,0,Satış
2024-06-07,Bayi sipariş tahsilatı,215033,0,Satış
2024-06-07,Nakliye ücreti,0,32735,Lojistik
2024-06-09,Kurumsal sipariş ödemesi,194315,0,Satış
2024-06-09,Kimyasal tedarik,0,115596,Tedarik
2024-06-10,Plastik granül alımı,0,108798,Tedarik
2024-06-12,Depo kira,0,87036,Kira
2024-06-14,Doğal gaz,0,34505,Fatura
2024-06-15,Yarı mamul tedarik,0,133087,Tedarik
2024-06-15,Kalıp ve aparat alımı,0,106433,Üretim
2024-06-15,Elektrik faturası (yüksek tüketim),0,30572,Fatura
2024-06-16,ÖTV ödemesi,0,53419,Vergi
2024-06-18,Kimyasal tedarik,0,134275,Tedarik
2024-06-18,Yurt içi taşıma,0,36790,Lojistik
2024-06-22,Hurda satışı,101931,0,Diğer Gelir
2024-06-23,Yarı mamul tedarik,0,111467,Tedarik
2024-06-24,Hammadde alımı (çelik),0,104508,Tedarik
2024-06-26,Toptan müşteri sevkiyat ödemesi,276117,0,Satış
2024-06-27,Yurt içi distribütör tahsilatı,193108,0,Satış
2024-06-27,Yurt içi distribütör tahsilatı,252422,0,Satış
2024-06-28,Yurt içi distribütör tahsilatı,227755,0,Satış
2024-06-29,Kurumsal sipariş ödemesi,252343,0,Satış
2024-06-29,Toptan müşteri sevkiyat ödemesi,224747,0,Satış
2024-07-01,Doğal gaz,0,31737,Fatura
2024-07-03,Sözleşmeli üretim geliri,281859,0,Satış
2024-07-05,Elektrik faturası (yüksek tüketim),0,28464,Fatura
2024-07-06,Kurumsal sipariş ödemesi,296070,0,Satış
2024-07-07,Ofis personeli maaşı,0,190787,Maaş
2024-07-07,Üretim sarf malzeme,0,31664,Üretim
2024-07-11,Yarı mamul tedarik,0,98919,Tedarik
2024-07-12,Makine bakım ve revizyon,0,37661,Üretim
2024-07-12,Nakliye ücreti,0,17652,Lojistik
2024-07-13,Bayi sipariş tahsilatı,318057,0,Satış
2024-07-13,Üretim işçileri maaşları,0,186193,Maaş
2024-07-14,Kurumsal sipariş ödemesi,259230,0,Satış
2024-07-14,Yarı mamul tedarik,0,98695,Tedarik
2024-07-15,Üretim sarf malzeme,0,31252,Üretim
2024-07-18,Hurda satışı,71013,0,Diğer Gelir
2024-07-18,Kimyasal tedarik,0,87020,Tedarik
2024-07-18,Forklift yakıt,0,18295,Lojistik
2024-07-19,Sözleşmeli üretim geliri,288142,0,Satış
2024-07-19,Kimyasal tedarik,0,104812,Tedarik
2024-07-19,Kalıp ve aparat alımı,0,39415,Üretim
2024-07-19,Depo kira,0,79570,Kira
2024-07-20,Hammadde alımı (çelik),0,116562,Tedarik
2024-07-21,Yurt içi distribütör tahsilatı,312031,0,Satış
2024-07-23,Nakliye ücreti,0,20265,Lojistik
2024-07-25,İthal makine parça,0,91905,Tedarik
2024-07-29,Kalite kontrol cihaz,0,39294,Üretim
2024-07-29,KDV ödemesi,0,41490,Vergi
2024-07-30,Su faturası,0,29950,Fatura
2024-08-01,Üretim işçileri maaşları,0,222285,Maaş
2024-08-02,Plastik granül alımı,0,94219,Tedarik
2024-08-02,KDV ödemesi,0,49485,Vergi
2024-08-03,Depo kira,0,66922,Kira
2024-08-03,Doğal gaz,0,23528,Fatura
2024-08-04,Yarı mamul tedarik,0,80897,Tedarik
2024-08-04,Kimyasal tedarik,0,79430,Tedarik
