tarih,aciklama,gelir,gider,kategori
2024-01-02,Sıhhi tesisat tedarik,0,42118,Tedarik
2024-01-02,Kalıp ve iskele kiralama,0,20539,Üretim
2024-01-02,Kamyon taşıma,0,21743,Lojistik
2024-01-03,Vinç kira,0,20000,Üretim
2024-01-04,Hakediş tahsilatı (Şantiye A),130962,0,Satış
2024-01-07,KDV ödemesi,0,27454,Vergi
2024-01-09,Vinç kira,0,19748,Üretim
2024-01-12,Çimento ve demir alımı,0,34283,Tedarik
2024-01-15,Hazır beton sipariş,0,36463,Tedarik
2024-01-15,Çimento ve demir alımı,0,36816,Tedarik
2024-01-17,Hakediş tahsilatı (Şantiye A),131113,0,Satış
2024-01-18,Sıhhi tesisat tedarik,0,34223,Tedarik
2024-01-18,Şantiye şefi maaşı,0,100900,Maaş
2024-01-19,Müteahhit hakediş ödemesi,119322,0,Satış
2024-01-20,Elektrik tesisat malzeme,0,38643,Tedarik
2024-01-21,İş makinesi kirası,0,18263,Üretim
2024-01-23,Sıhhi tesisat tedarik,0,37530,Tedarik
2024-01-26,İnşaat malzemeleri toptan,0,31993,Tedarik
2024-01-27,İşçi yevmiyeleri,0,97557,Maaş
2024-01-28,Kamyon taşıma,0,19253,Lojistik
2024-01-29,Kamu ihale hakedişi,129225,0,Satış
2024-01-30,Kamu ihale hakedişi,158966,0,Satış
2024-02-01,Daire satış tahsilatı,250074,0,Satış
2024-02-01,Vinç kira,0,19597,Üretim
2024-02-01,İş makinesi kirası,0,23029,Üretim
2024-02-02,Kalıp ve iskele kiralama,0,25507,Üretim
2024-02-08,Hazır beton sipariş,0,82523,Tedarik
2024-02-12,Elektrik tesisat malzeme,0,89617,Tedarik
2024-02-13,KDV ödemesi,0,31334,Vergi
2024-02-14,Hakediş tahsilatı (Şantiye A),229867,0,Satış
2024-02-14,Kamu ihale hakedişi,212391,0,Satış
2024-02-14,Kamyon taşıma,0,12974,Lojistik
2024-02-15,Kamyon taşıma,0,14764,Lojistik
2024-02-16,Hazır beton sipariş,0,78035,Tedarik
2024-02-16,İşçi yevmiyeleri,0,194346,Maaş
2024-02-20,Nakliye ve hafriyat,0,14450,Lojistik
2024-02-26,Daire satış tahsilatı,211865,0,Satış
2024-02-26,Vinç kira,0,19920,Üretim
2024-02-27,Çimento ve demir alımı,0,73375,Tedarik
2024-03-01,İşçi yevmiyeleri,0,158945,Maaş
2024-03-01,Nakliye ve hafriyat,0,68531,Lojistik
2024-03-04,İnşaat malzemeleri toptan,0,111498,Tedarik
2024-03-07,Hazır beton sipariş,0,108540,Tedarik
2024-03-11,Proje milestone ödemesi,371364,0,Satış
2024-03-12,All-risk inşaat sigortası,0,49600,Sigorta
2024-03-16,İş makinesi kirası,0,40993,Üretim
2024-03-17,Ekipman kiralama geliri,83363,0,Diğer Gelir
2024-03-18,İnşaat malzemeleri toptan,0,99867,Tedarik
2024-03-18,İş makinesi kirası,0,48286,Üretim
2024-03-21,Müteahhit hakediş ödemesi,304665,0,Satış
2024-03-21,Statik mühendis ücreti,0,23615,Danışmanlık
2024-03-23,Proje milestone ödemesi,381025,0,Satış
2024-03-23,Çimento ve demir alımı,0,120561,Tedarik
2024-03-23,Şantiye şefi maaşı,0,137689,Maaş
2024-03-23,İş makinesi kirası,0,41161,Üretim
2024-03-25,Hakediş tahsilatı (Şantiye A),291475,0,Satış
2024-03-28,Stopaj,0,50428,Vergi
2024-03-30,İnşaat malzemeleri toptan,0,98792,Tedarik
2024-04-01,Nakliye ve hafriyat,0,27690,Lojistik
2024-04-06,Müteahhit hakediş ödemesi,1048761,0,Satış
2024-04-09,Elektrik tesisat malzeme,0,79198,Tedarik
2024-04-12,Kalıp ve iskele kiralama,0,71039,Üretim
2024-04-14,Kalıp ve iskele kiralama,0,62666,Üretim
2024-04-16,Kamyon taşıma,0,31732,Lojistik
2024-04-17,Hazır beton sipariş,0,82557,Tedarik
2024-04-18,Sıhhi tesisat tedarik,0,73850,Tedarik
2024-04-19,Ustabaşı ve teknik kadro maaşları,0,217510,Maaş
