tarih,aciklama,gelir,gider,kategori
2024-01-01,Influencer iş birliği,0,3213,Pazarlama
2024-01-02,Manikür ve pedikür,4945,0,Satış
2024-01-03,Güzellik uzmanı maaşı,0,57768,Maaş
2024-01-03,Elektrik,0,4392,Fatura
2024-01-04,Lazer epilasyon seans,5624,0,Satış
2024-01-05,Yılbaşı paket geliri,5451,0,Satış
2024-01-05,Temizlik malzemeleri,0,2006,Sarf
2024-01-08,Erkek tıraş ve sakal şekillendirme,6215,0,Satış
2024-01-09,Erkek tıraş ve sakal şekillendirme,5295,0,Satış
2024-01-09,Yılbaşı paket geliri,5227,0,Satış
2024-01-11,Cilt bakım uygulaması,5497,0,Satış
2024-01-13,Boya ve saç bakım ürünü,0,11788,Tedarik
2024-01-15,Manikür ve pedikür,5847,0,Satış
2024-01-15,Saç bakım ürünü satışı,4255,0,Diğer Gelir
2024-01-16,Cilt bakım uygulaması,5222,0,Satış
2024-01-16,Cilt bakım uygulaması,5475,0,Satış
2024-01-16,Manikür ve pedikür,5377,0,Satış
2024-01-17,Cilt bakım uygulaması,4925,0,Satış
2024-01-17,Stopaj,0,4517,Vergi
2024-01-18,Lazer epilasyon seans,5434,0,Satış
2024-01-18,Lazer epilasyon seans,6806,0,Satış
2024-01-18,Erkek tıraş ve sakal şekillendirme,6753,0,Satış
2024-01-20,Saç kesim hizmet geliri,6036,0,Satış
2024-01-21,Saç kesim hizmet geliri,6887,0,Satış
2024-01-25,Cilt bakım uygulaması,6273,0,Satış
2024-01-25,Yılbaşı paket geliri,6738,0,Satış
2024-01-25,Saç kesim hizmet geliri,7025,0,Satış
2024-01-25,Cilt bakım uygulaması,6971,0,Satış
2024-01-26,Erkek tıraş ve sakal şekillendirme,7150,0,Satış
2024-01-26,Kozmetik ürün satışı,5327,0,Diğer Gelir
2024-01-26,Havlu ve tek kullanımlık ürün,0,1733,Sarf
2024-01-27,Su,0,4594,Fatura
2024-01-29,Şampuan toptan alımı,0,12950,Tedarik
2024-01-30,Erkek tıraş ve sakal şekillendirme,5721,0,Satış
2024-01-30,Lazer epilasyon seans,6147,0,Satış
2024-01-31,Salon kira ödemesi,0,19352,Kira
2024-01-31,Booksy randevu platform ücreti,0,3458,Pazarlama
2024-02-03,Keratin ve fön bakımı,8686,0,Satış
2024-02-04,Düğün ve özel gün makyaj,7743,0,Satış
2024-02-04,Manikür/pedikür malzemesi,0,12564,Tedarik
2024-02-05,Havlu ve tek kullanımlık ürün,0,3662,Sarf
2024-02-07,Erkek tıraş ve sakal şekillendirme,8093,0,Satış
2024-02-07,Stopaj,0,5332,Vergi
2024-02-08,Saç kesim hizmet geliri,8458,0,Satış
2024-02-09,Saç bakım ürünü satışı,4325,0,Diğer Gelir
2024-02-11,Keratin ve fön bakımı,6128,0,Satış
2024-02-12,Yılbaşı paket geliri,8582,0,Satış
2024-02-12,İnternet,0,4436,Fatura
2024-02-13,Salon kira ödemesi,0,19213,Kira
2024-02-14,Düğün ve özel gün makyaj,6012,0,Satış
2024-02-14,Düğün ve özel gün makyaj,8642,0,Satış
2024-02-14,Su,0,4231,Fatura
2024-02-15,Erkek tıraş ve sakal şekillendirme,7770,0,Satış
2024-02-15,Manikür/pedikür malzemesi,0,11128,Tedarik
2024-02-16,Saç boyama ve röfle,7943,0,Satış
2024-02-16,Kuaför ve berber maaşları,0,22268,Maaş
2024-02-17,Manikür ve pedikür,8739,0,Satış
2024-02-18,Düğün ve özel gün makyaj,7261,0,Satış
2024-02-18,Kuaför ve berber maaşları,0,23370,Maaş
2024-02-20,Erkek tıraş ve sakal şekillendirme,7385,0,Satış
2024-02-22,Manikür ve pedikür,8548,0,Satış
2024-02-22,Saç kesim hizmet geliri,6133,0,Satış
2024-02-25,Erkek tıraş ve sakal şekillendirme,7863,0,Satış
2024-02-26,Saç bakım ürünü satışı,4040,0,Diğer Gelir
2024-02-27,Keratin ve fön bakımı,7318,0,Satış
2024-02-27,Yılbaşı paket geliri,6732,0,Satış
2024-02-27,Influencer iş birliği,0,6473,Pazarlama
2024-02-28,Manikür ve pedikür,6638,0,Satış
2024-02-28,Lazer epilasyon seans,6075,0,Satış
2024-03-01,Saç kesim hizmet geliri,9007,0,Satış
2024-03-04,Erkek tıraş ve sakal şekillendirme,7439,0,Satış
2024-03-04,Elektrik,0,2334,Fatura
2024-03-06,Düğün ve özel gün makyaj,6645,0,Satış
2024-03-06,Boya ve saç bakım ürünü,0,10475,Tedarik
2024-03-07,Yılbaşı paket geliri,9361,0,Satış
2024-03-09,Havlu ve tek kullanımlık ürün,0,2202,Sarf
2024-03-10,Şampuan toptan alımı,0,10896,Tedarik
2024-03-11,Düğün ve özel gün makyaj,9616,0,Satış
2024-03-11,Düğün ve özel gün makyaj,6805,0,Satış
2024-03-11,Erkek tıraş ve sakal şekillendirme,6577,0,Satış
2024-03-12,Keratin ve fön bakımı,9018,0,Satış
2024-03-14,Kuaför ve berber maaşları,0,61187,Maaş
2024-03-14,Influencer iş birliği,0,8075,Pazarlama
2024-03-15,Cilt bakım uygulaması,7844,0,Satış
2024-03-15,Stopaj,0,6689,Vergi
2024-03-16,Elektrik,0,2703,Fatura
2024-03-18,Manikür ve pedikür,6894,0,Satış
2024-03-19,Salon kira ödemesi,0,22948,Kira
2024-03-20,Lazer epilasyon seans,9294,0,Satış
2024-03-20,İnternet,0,2616,Fatura
2024-03-21,Yılbaşı paket geliri,9614,0,Satış
2024-03-21,Manikür ve pedikür,7284,0,Satış
2024-03-22,Saç kesim hizmet geliri,7979,0,Satış
2024-03-23,Yılbaşı paket geliri,7462,0,Satış
2024-03-23,Manikür ve pedikür,9630,0,Satış
2024-03-23,Manikür ve pedikür,9173,0,Satış
2024-03-23,Havlu ve tek kullanımlık ürün,0,2061,Sarf
2024-03-27,Boya ve saç bakım ürünü,0,8980,Tedarik
2024-03-28,Düğün ve özel gün makyaj,9228,0,Satış
2024-03-28,Su,0,2659,Fatura
2024-03-29,Manikür ve pedikür,9107,0,Satış
2024-03-29,Lazer epilasyon seans,7531,0,Satış
2024-03-29,Kozmetik ürün satışı,6550,0,Diğer Gelir
2024-03-29,Saç bakım ürünü satışı,5465,0,Diğer Gelir
2024-03-30,Erkek tıraş ve sakal şekillendirme,6705,0,Satış
2024-03-31,Lazer epilasyon seans,7213,0,Satış
2024-04-01,Saç boyama ve röfle,8207,0,Satış
2024-04-02,Saç kesim hizmet geliri,8563,0,Satış
2024-04-02,Resepsiyon personeli maaşı,0,29996,Maaş
2024-04-04,Saç boyama ve röfle,9207,0,Satış
2024-04-06,Erkek tıraş ve sakal şekillendirme,8958,0,Satış
2024-04-06,Salon kira ödemesi,0,23284,Kira
2024-04-07,Saç boyama ve röfle,10963,0,Satış
2024-04-07,Saç kesim hizmet geliri,7743,0,Satış
2024-04-07,Keratin ve fön bakımı,9667,0,Satış
2024-04-07,Saç bakım ürünü satışı,3399,0,Diğer Gelir
2024-04-08,Saç bakım ürünü satışı,2985,0,Diğer Gelir
2024-04-09,Manikür/pedikür malzemesi,0,6593,Tedarik
2024-04-11,Yılbaşı paket geliri,8168,0,Satış
2024-04-11,Cilt bakım uygulaması,9057,0,Satış
2024-04-11,Saç boyama ve röfle,7747,0,Satış
2024-04-12,Saç kesim hizmet geliri,10007,0,Satış
