tarih,aciklama,gelir,gider,kategori
2024-01-01,Depolama hizmet geliri,113753,0,Satış
2024-01-02,Soğuk zincir taşıma,123620,0,Satış
2024-01-02,Lastik alımı,0,36753,Tedarik
2024-01-02,Akaryakıt ve mazot alımı,0,40404,Tedarik
2024-01-02,Lastik alımı,0,39126,Tedarik
2024-01-02,Periyodik bakım,0,39182,Üretim
2024-01-03,Aylık taşıma sözleşmesi,119228,0,Satış
2024-01-04,Akaryakıt ve mazot alımı,0,38988,Tedarik
2024-01-04,Şoför maaşları (15 kişi),0,173720,Maaş
2024-01-05,Spot konteyner tahsilatı,111786,0,Satış
2024-01-06,Adblue tedarik,0,41816,Tedarik
2024-01-07,Depolama hizmet geliri,138693,0,Satış
2024-01-10,MTV ödemesi,0,62760,Vergi
2024-01-11,İnternet,0,19189,Fatura
2024-01-12,Periyodik bakım,0,34356,Üretim
2024-01-12,Periyodik bakım,0,36827,Üretim
2024-01-13,Soğuk zincir taşıma,112802,0,Satış
2024-01-13,Akaryakıt ve mazot alımı,0,39706,Tedarik
2024-01-13,Adblue tedarik,0,34543,Tedarik
2024-01-13,İnternet,0,20032,Fatura
2024-01-16,Filo park kirası,0,63542,Kira
2024-01-16,Filo takip sistemi,0,15763,Teknoloji
2024-01-17,Kasko sigortası,0,90855,Sigorta
2024-01-18,E-ticaret kargo geliri,131830,0,Satış
2024-01-19,Depolama hizmet geliri,135024,0,Satış
2024-01-22,Adblue tedarik,0,41326,Tedarik
2024-01-22,Periyodik bakım,0,39476,Üretim
2024-01-23,Aylık taşıma sözleşmesi,105366,0,Satış
2024-01-25,Aylık taşıma sözleşmesi,136169,0,Satış
2024-01-26,Akaryakıt ve mazot alımı,0,39393,Tedarik
2024-01-27,Şoför maaşları (15 kişi),0,196842,Maaş
2024-01-27,Elektrik,0,18099,Fatura
2024-01-28,TMS yazılım abonelik,0,16150,Teknoloji
2024-01-30,E-ticaret kargo geliri,131484,0,Satış
2024-02-01,Şehirler arası nakliye ücreti,66976,0,Satış
2024-02-01,Depo kira,0,56060,Kira
2024-02-02,Akaryakıt ve mazot alımı,0,26430,Tedarik
2024-02-02,Akaryakıt ve mazot alımı,0,30232,Tedarik
2024-02-05,İnternet,0,27216,Fatura
2024-02-06,Depolama hizmet geliri,74241,0,Satış
2024-02-07,Aylık taşıma sözleşmesi,98534,0,Satış
2024-02-07,Soğuk zincir taşıma,88700,0,Satış
2024-02-07,Akaryakıt ve mazot alımı,0,25886,Tedarik
2024-02-07,Dispatcher maaşı,0,213873,Maaş
2024-02-08,Aylık taşıma sözleşmesi,96427,0,Satış
2024-02-08,Filo takip sistemi,0,34596,Teknoloji
2024-02-09,Soğuk zincir taşıma,79029,0,Satış
2024-02-09,Şehirler arası nakliye ücreti,86023,0,Satış
2024-02-10,Periyodik bakım,0,85007,Üretim
2024-02-11,Şehirler arası nakliye ücreti,75151,0,Satış
2024-02-11,Soğuk zincir taşıma,93764,0,Satış
2024-02-13,Akaryakıt ve mazot alımı,0,24409,Tedarik
2024-02-13,Elektrik,0,32475,Fatura
2024-02-14,Aylık taşıma sözleşmesi,75429,0,Satış
2024-02-14,ÖTV,0,70030,Vergi
2024-02-15,Şehirler arası nakliye ücreti,69789,0,Satış
2024-02-15,Adblue tedarik,0,31038,Tedarik
2024-02-15,Adblue tedarik,0,24359,Tedarik
2024-02-16,Yedek parça stok,0,24140,Tedarik
2024-02-16,Lastik alımı,0,26202,Tedarik
2024-02-16,Depo personeli maaşı,0,181641,Maaş
2024-02-17,E-ticaret kargo geliri,67885,0,Satış
2024-02-17,Yağ değişimi,0,83339,Üretim
2024-02-18,Aylık taşıma sözleşmesi,85468,0,Satış
2024-02-21,Lastik alımı,0,23854,Tedarik
2024-02-21,Trafik sigortası,0,103661,Sigorta
2024-02-22,Yedek parça stok,0,29319,Tedarik
2024-02-24,E-ticaret kargo geliri,96596,0,Satış
2024-02-26,Soğuk zincir taşıma,81802,0,Satış
2024-02-27,Akaryakıt ve mazot alımı,0,24353,Tedarik
2024-02-28,Aylık taşıma sözleşmesi,82566,0,Satış
2024-02-28,Adblue tedarik,0,25770,Tedarik
2024-03-01,Soğuk zincir taşıma,115853,0,Satış
2024-03-01,MTV ödemesi,0,39002,Vergi
2024-03-02,Şehirler arası nakliye ücreti,98948,0,Satış
2024-03-02,Akaryakıt ve mazot alımı,0,29101,Tedarik
2024-03-02,Adblue tedarik,0,29698,Tedarik
2024-03-03,E-ticaret kargo geliri,97517,0,Satış
2024-03-03,Lastik alımı,0,29879,Tedarik
2024-03-07,Şehirler arası nakliye ücreti,102245,0,Satış
2024-03-07,Şoför maaşları (15 kişi),0,372769,Maaş
2024-03-08,Spot konteyner tahsilatı,96337,0,Satış
2024-03-08,Periyodik bakım,0,86629,Üretim
2024-03-09,Şehirler arası nakliye ücreti,117259,0,Satış
2024-03-09,Yedek parça stok,0,31986,Tedarik
2024-03-09,Lastik alımı,0,30450,Tedarik
2024-03-09,İnternet,0,33825,Fatura
2024-03-10,Akaryakıt ve mazot alımı,0,26181,Tedarik
2024-03-12,E-ticaret kargo geliri,108317,0,Satış
2024-03-12,KDV,0,42411,Vergi
2024-03-13,Hurda araç satış,25127,0,Diğer Gelir
2024-03-15,Trafik sigortası,0,119129,Sigorta
2024-03-16,Spot konteyner tahsilatı,109668,0,Satış
2024-03-16,Akaryakıt ve mazot alımı,0,30384,Tedarik
2024-03-17,Şehirler arası nakliye ücreti,104809,0,Satış
2024-03-19,Depolama hizmet geliri,98196,0,Satış
2024-03-19,Filo park kirası,0,65902,Kira
2024-03-20,Aylık taşıma sözleşmesi,114896,0,Satış
2024-03-20,Yedek parça stok,0,33187,Tedarik
2024-03-21,Şehirler arası nakliye ücreti,105989,0,Satış
2024-03-21,Soğuk zincir taşıma,92967,0,Satış
2024-03-22,Adblue tedarik,0,29877,Tedarik
2024-03-22,İnternet,0,33204,Fatura
2024-03-22,Filo takip sistemi,0,35096,Teknoloji
2024-03-23,Akaryakıt ve mazot alımı,0,28077,Tedarik
2024-03-26,Depolama hizmet geliri,100984,0,Satış
2024-03-26,Araç bakım ve onarım,0,76399,Üretim
2024-03-27,Sigorta tazminat,31872,0,Diğer Gelir
2024-03-27,Adblue tedarik,0,30265,Tedarik
2024-03-29,Akaryakıt ve mazot alımı,0,27373,Tedarik
2024-03-30,E-ticaret kargo geliri,112212,0,Satış
2024-04-01,Aylık taşıma sözleşmesi,99418,0,Satış
2024-04-01,Yağ değişimi,0,42438,Üretim
2024-04-01,Trafik sigortası,0,111361,Sigorta
2024-04-02,Yedek parça stok,0,82561,Tedarik
2024-04-03,Şehirler arası nakliye ücreti,94658,0,Satış
2024-04-03,Depo personeli maaşı,0,368490,Maaş
2024-04-03,Filo takip sistemi,0,43842,Teknoloji
2024-04-04,Aylık taşıma sözleşmesi,103470,0,Satış
2024-04-04,Depolama hizmet geliri,107679,0,Satış
2024-04-04,Lastik alımı,0,68565,Tedarik
2024-04-04,Elektrik,0,37007,Fatura
2024-04-05,Soğuk zincir taşıma,110785,0,Satış
2024-04-06,Aylık taşıma sözleşmesi,82498,0,Satış
2024-04-06,Yedek parça stok,0,74423,Tedarik
2024-04-10,Yağ değişimi,0,47012,Üretim
2024-04-13,Depolama hizmet geliri,88560,0,Satış
2024-04-13,E-ticaret kargo geliri,102069,0,Satış
2024-04-15,Aylık taşıma sözleşmesi,86646,0,Satış
2024-04-16,Adblue tedarik,0,82009,Tedarik
2024-04-16,MTV ödemesi,0,45159,Vergi
2024-04-17,E-ticaret kargo geliri,97170,0,Satış
2024-04-17,Spot konteyner tahsilatı,76527,0,Satış
2024-04-18,Soğuk zincir taşıma,87706,0,Satış
2024-04-18,Depo kira,0,67699,Kira
2024-04-18,İnternet,0,29815,Fatura
2024-04-20,Periyodik bakım,0,37495,Üretim
2024-04-24,ÖTV,0,37332,Vergi
2024-04-25,Yedek parça stok,0,66485,Tedarik
2024-04-27,Soğuk zincir taşıma,98892,0,Satış
2024-04-29,Şehirler arası nakliye ücreti,106621,0,Satış
2024-04-29,Aylık taşıma sözleşmesi,104176,0,Satış
2024-04-29,Araç bakım ve onarım,0,41211,Üretim
2024-04-30,Aylık taşıma sözleşmesi,80304,0,Satış
2024-05-02,Yük sigortası,0,57928,Sigorta
2024-05-05,Lastik alımı,0,34011,Tedarik
2024-05-05,Yedek parça stok,0,28678,Tedarik
2024-05-06,İnternet,0,57692,Fatura
2024-05-08,Soğuk zincir taşıma,117767,0,Satış
2024-05-08,Lastik alımı,0,28704,Tedarik
2024-05-09,E-ticaret kargo geliri,132149,0,Satış
2024-05-09,Depo kira,0,57909,Kira
2024-05-10,Aylık taşıma sözleşmesi,116661,0,Satış
2024-05-10,Dispatcher maaşı,0,404341,Maaş
2024-05-11,Sigorta tazminat,25994,0,Diğer Gelir
2024-05-11,Yedek parça stok,0,30160,Tedarik
2024-05-13,ÖTV,0,44556,Vergi
2024-05-14,Soğuk zincir taşıma,109509,0,Satış
2024-05-15,Aylık taşıma sözleşmesi,99854,0,Satış
2024-05-16,Aylık taşıma sözleşmesi,115342,0,Satış
2024-05-16,Yedek parça stok,0,30581,Tedarik
2024-05-16,Adblue tedarik,0,27183,Tedarik
2024-05-16,Adblue tedarik,0,31044,Tedarik
2024-05-19,Yedek parça stok,0,29624,Tedarik
2024-05-19,Yağ değişimi,0,82525,Üretim
2024-05-20,Akaryakıt ve mazot alımı,0,27350,Tedarik
2024-05-21,Hurda araç satış,34175,0,Diğer Gelir
2024-05-21,Yedek parça stok,0,34829,Tedarik
2024-05-21,Kasko sigortası,0,51506,Sigorta
2024-05-22,E-ticaret kargo geliri,91580,0,Satış
2024-05-23,Yağ değişimi,0,73125,Üretim
2024-05-24,KDV,0,33833,Vergi
2024-05-25,Spot konteyner tahsilatı,101455,0,Satış
2024-05-26,Şehirler arası nakliye ücreti,125675,0,Satış
2024-05-26,Depolama hizmet geliri,112752,0,Satış
2024-05-27,Şehirler arası nakliye ücreti,94928,0,Satış
2024-05-28,E-ticaret kargo geliri,106601,0,Satış
2024-05-29,Soğuk zincir taşıma,128893,0,Satış
2024-05-29,Filo takip sistemi,0,34703,Teknoloji
2024-05-30,Lastik alımı,0,30316,Tedarik
2024-05-30,Adblue tedarik,0,33068,Tedarik
2024-06-01,Aylık taşıma sözleşmesi,112909,0,Satış
2024-06-02,Spot konteyner tahsilatı,149955,0,Satış
2024-06-03,Adblue tedarik,0,51489,Tedarik
2024-06-04,E-ticaret kargo geliri,137631,0,Satış
2024-06-06,İnternet,0,21840,Fatura
2024-06-07,Periyodik bakım,0,32357,Üretim
2024-06-07,İnternet,0,23662,Fatura
2024-06-08,E-ticaret kargo geliri,148757,0,Satış
2024-06-10,Aylık taşıma sözleşmesi,133439,0,Satış
2024-06-11,Aylık taşıma sözleşmesi,142255,0,Satış
2024-06-11,Periyodik bakım,0,34903,Üretim
2024-06-12,Yağ değişimi,0,35471,Üretim
2024-06-13,Periyodik bakım,0,36263,Üretim
2024-06-14,Dispatcher maaşı,0,393882,Maaş
2024-06-14,Filo park kirası,0,58296,Kira
2024-06-15,İnternet,0,23172,Fatura
2024-06-17,Yük sigortası,0,56369,Sigorta
2024-06-17,Filo takip sistemi,0,19931,Teknoloji
2024-06-19,Yedek parça stok,0,47984,Tedarik
2024-06-20,Adblue tedarik,0,54295,Tedarik
2024-06-20,Lastik alımı,0,51000,Tedarik
2024-06-21,Kasko sigortası,0,53283,Sigorta
2024-06-22,Soğuk zincir taşıma,111492,0,Satış
2024-06-24,Şehirler arası nakliye ücreti,153366,0,Satış
2024-06-24,Spot konteyner tahsilatı,118933,0,Satış
2024-06-24,TMS yazılım abonelik,0,21642,Teknoloji
2024-06-25,E-ticaret kargo geliri,108300,0,Satış
2024-06-25,Aylık taşıma sözleşmesi,147147,0,Satış
2024-06-29,Lastik alımı,0,47822,Tedarik
2024-06-29,Periyodik bakım,0,29873,Üretim
2024-06-29,ÖTV,0,75186,Vergi
2024-06-30,Adblue tedarik,0,54913,Tedarik
2024-06-30,Akaryakıt ve mazot alımı,0,44915,Tedarik
2024-07-01,Aylık taşıma sözleşmesi,109180,0,Satış
2024-07-03,Spot konteyner tahsilatı,139226,0,Satış
2024-07-04,Filo park kirası,0,70305,Kira
2024-07-05,Lastik alımı,0,45265,Tedarik
2024-07-06,Kasko sigortası,0,51511,Sigorta
2024-07-07,MTV ödemesi,0,79219,Vergi
