tarih,aciklama,gelir,gider,kategori
2024-01-05,Soğuk zincir taşıma,0,8350,Lojistik
2024-01-06,Özel klinik sipariş geliri,78968,0,Satış
2024-01-08,Elektrik,0,3908,Fatura
2024-01-09,Özel klinik sipariş geliri,83820,0,Satış
2024-01-09,KDV,0,10229,Vergi
2024-01-10,Soğuk zincir taşıma,0,6829,Lojistik
2024-01-10,Kongre ve fuar katılımı,0,15722,Pazarlama
2024-01-13,Eczane toptan satış,65626,0,Satış
2024-01-15,SGK ödeme tahsilatı,71049,0,Satış
2024-01-15,Yedek parça stoğu,0,29352,Tedarik
2024-01-15,Soğuk zincir taşıma,0,8169,Lojistik
2024-01-16,Sarf malzeme alımı,0,32906,Tedarik
2024-01-17,Bayi sipariş ödemesi,73731,0,Satış
2024-01-17,Satış temsilcisi maaşları,0,108533,Maaş
2024-01-18,Eğitim ve demo geliri,19879,0,Diğer Gelir
2024-01-18,Yedek parça stoğu,0,32379,Tedarik
2024-01-19,Saha ziyaret yakıt,0,6987,Lojistik
2024-01-20,Yedek parça stoğu,0,30322,Tedarik
2024-01-21,SGK ödeme tahsilatı,65012,0,Satış
2024-01-24,Sarf malzeme alımı,0,31011,Tedarik
2024-01-24,Ürün sorumluluk sigortası,0,15092,Sigorta
2024-01-24,Elektrik,0,4218,Fatura
2024-01-29,Stopaj,0,12844,Vergi
2024-01-31,Ofis ve depo kira,0,20054,Kira
2024-02-02,Eczane toptan satış,87839,0,Satış
2024-02-02,İthalat medikal cihaz,0,29665,Tedarik
2024-02-05,Özel klinik sipariş geliri,95311,0,Satış
2024-02-07,Yedek parça stoğu,0,24558,Tedarik
2024-02-09,Sarf malzeme alımı,0,30617,Tedarik
2024-02-10,Hastane sipariş tahsilatı,101119,0,Satış
2024-02-10,Satış temsilcisi maaşları,0,45664,Maaş
2024-02-11,SGK ödeme tahsilatı,108780,0,Satış
2024-02-12,İthalat medikal cihaz,0,29068,Tedarik
2024-02-14,Bayi sipariş ödemesi,92274,0,Satış
2024-02-15,Kargo gönderim ücreti,0,30600,Lojistik
2024-02-15,Elektrik,0,3698,Fatura
