tarih,aciklama,gelir,gider,kategori
2024-01-02,Bordro hizmet bedeli,24884,0,Satış
2024-01-04,Yıllık beyanname hazırlık ücreti,24193,0,Satış
2024-01-05,Logo muhasebe yazılım abonelik,0,3674,Teknoloji
2024-01-05,Kırtasiye ve toner,0,2441,Sarf
2024-01-06,İnternet,0,3653,Fatura
2024-01-10,Yıllık beyanname hazırlık ücreti,21105,0,Satış
2024-01-10,Bordro hizmet bedeli,25227,0,Satış
2024-01-10,Logo muhasebe yazılım abonelik,0,4148,Teknoloji
2024-01-11,Yıllık beyanname hazırlık ücreti,23556,0,Satış
2024-01-13,Muhasebe personeli maaşları,0,42317,Maaş
2024-01-13,Logo muhasebe yazılım abonelik,0,4173,Teknoloji
2024-01-13,Ofis sarf malzemesi,0,2840,Sarf
2024-01-17,Muhasebe personeli maaşları,0,42226,Maaş
2024-01-20,Vergi denetim danışmanlık,21982,0,Satış
2024-01-22,KOBİ aylık muhasebe ücreti,18533,0,Satış
2024-01-24,İnternet,0,3440,Fatura
2024-01-26,KOBİ aylık muhasebe ücreti,22869,0,Satış
2024-01-26,Ofis kirası,0,16296,Kira
2024-01-29,Bilirkişilik ücreti,3392,0,Diğer Gelir
2024-01-30,Bilirkişilik ücreti,3255,0,Diğer Gelir
2024-01-31,KDV ödemesi,0,9436,Vergi
2024-02-01,KOBİ aylık muhasebe ücreti,11126,0,Satış
2024-02-01,Eğitim semineri geliri,3669,0,Diğer Gelir
2024-02-04,Bordro hizmet bedeli,9838,0,Satış
2024-02-04,Elektrik,0,4032,Fatura
2024-02-07,Stajyer ücreti,0,82688,Maaş
2024-02-08,Bordro hizmet bedeli,12046,0,Satış
2024-02-09,Mikro yazılım lisans,0,4513,Teknoloji
2024-02-10,KOBİ aylık muhasebe ücreti,11954,0,Satış
2024-02-11,Vergi denetim danışmanlık,11046,0,Satış
2024-02-12,KOBİ aylık muhasebe ücreti,11908,0,Satış
2024-02-13,Bordro hizmet bedeli,11190,0,Satış
2024-02-13,Stopaj,0,9915,Vergi
2024-02-15,E-fatura entegrasyon ücreti,10217,0,Satış
2024-02-16,Şirket kuruluş danışmanlığı,12473,0,Satış
2024-02-17,Şirket kuruluş danışmanlığı,14344,0,Satış
2024-02-18,E-fatura entegrasyon ücreti,11228,0,Satış
2024-02-20,Şirket kuruluş danışmanlığı,10725,0,Satış
2024-02-20,Bilirkişilik ücreti,4824,0,Diğer Gelir
2024-02-23,Logo muhasebe yazılım abonelik,0,3492,Teknoloji
2024-02-24,Bordro hizmet bedeli,13735,0,Satış
2024-02-24,Şirket kuruluş danışmanlığı,13426,0,Satış
2024-02-24,Ofis sarf malzemesi,0,5636,Sarf
2024-02-25,Şirket kuruluş danışmanlığı,10688,0,Satış
2024-02-26,Yıllık beyanname hazırlık ücreti,14290,0,Satış
2024-02-26,TÜRMOB üyelik aidatı,0,3390,Danışmanlık
2024-02-27,Elektrik,0,3368,Fatura
2024-02-28,Ofis kirası,0,18884,Kira
2024-02-28,E-fatura portalı ücreti,0,3932,Teknoloji
2024-03-01,Ofis sarf malzemesi,0,4186,Sarf
2024-03-02,Ofis kirası,0,31487,Kira
2024-03-02,Logo muhasebe yazılım abonelik,0,5800,Teknoloji
2024-03-02,Stopaj,0,14538,Vergi
2024-03-03,Elektrik,0,3918,Fatura
2024-03-06,Ofis sarf malzemesi,0,4865,Sarf
2024-03-08,Bordro hizmet bedeli,34255,0,Satış
2024-03-09,Yıllık beyanname hazırlık ücreti,32080,0,Satış
2024-03-11,Vergi denetim danışmanlık,29844,0,Satış
2024-03-11,Logo muhasebe yazılım abonelik,0,5438,Teknoloji
2024-03-12,Vergi denetim danışmanlık,40002,0,Satış
