tarih,aciklama,gelir,gider,kategori
2024-01-03,Yardımcı personel maaşı,0,80341,Maaş
2024-01-04,Akü değişim,21254,0,Satış
2024-01-05,Elektrik ve elektronik arıza,22027,0,Satış
2024-01-06,Motor revizyonu,24525,0,Satış
2024-01-07,Motor yağı ve filtre stoğu,0,13854,Tedarik
2024-01-07,Kompresör bakımı,0,18326,Üretim
2024-01-09,Fren sistemi onarımı,26443,0,Satış
2024-01-13,Servis atölye kirası,0,23207,Kira
2024-01-14,Lastik değişim ve balans,27519,0,Satış
2024-01-18,Motor revizyonu,25611,0,Satış
2024-01-18,Lastik tedariği,0,13179,Tedarik
2024-01-18,İnternet aboneliği,0,5406,Fatura
2024-01-19,Boya ve kaporta işleri,26024,0,Satış
2024-01-20,Boya ve kimyasal alımı,0,12959,Tedarik
2024-01-24,Elektrik ve elektronik arıza,22729,0,Satış
2024-01-24,Fren sistemi onarımı,21259,0,Satış
2024-01-24,Motor yağı ve filtre stoğu,0,11665,Tedarik
2024-01-24,İnternet aboneliği,0,4797,Fatura
2024-01-25,Fren sistemi onarımı,27242,0,Satış
2024-01-26,Yedek parça toptan alımı,0,12949,Tedarik
2024-01-28,Motor revizyonu,21906,0,Satış
2024-01-29,Akü değişim,21216,0,Satış
2024-01-29,Boya ve kimyasal alımı,0,14309,Tedarik
2024-01-29,KDV ödemesi,0,12959,Vergi
2024-01-30,Elektrik faturası,0,4652,Fatura
2024-01-31,Motor yağı ve filtre stoğu,0,12033,Tedarik
2024-02-02,Boya ve kaporta işleri,15894,0,Satış
2024-02-02,Egzoz ve emisyon kontrol,14362,0,Satış
2024-02-04,Motor revizyonu,14518,0,Satış
2024-02-05,Fren sistemi onarımı,13776,0,Satış
2024-02-06,Elektrik ve elektronik arıza,17674,0,Satış
2024-02-07,Egzoz ve emisyon kontrol,15524,0,Satış
2024-02-11,Egzoz ve emisyon kontrol,15815,0,Satış
2024-02-12,Kompresör bakımı,0,7357,Üretim
2024-02-12,KDV ödemesi,0,12510,Vergi
2024-02-13,Motor revizyonu,12846,0,Satış
2024-02-13,Motor revizyonu,18422,0,Satış
2024-02-14,İnternet aboneliği,0,5350,Fatura
2024-02-15,Klima bakımı,14170,0,Satış
2024-02-16,Elektrik faturası,0,4394,Fatura
2024-02-18,Akü tedariği,0,20922,Tedarik
2024-02-19,Usta ve teknisyen maaşları,0,34053,Maaş
2024-02-20,Elektrik ve elektronik arıza,16258,0,Satış
2024-02-20,Periyodik bakım geliri,14319,0,Satış
2024-02-20,Yedek parça toptan alımı,0,21810,Tedarik
2024-02-20,Su faturası,0,4499,Fatura
2024-02-21,Egzoz ve emisyon kontrol,16070,0,Satış
2024-02-21,İşyeri sigorta poliçesi,0,10432,Sigorta
2024-02-22,Servis atölye kirası,0,20148,Kira
2024-02-22,Atölye sarf malzeme,0,7267,Üretim
2024-02-23,Şanzıman onarımı,14995,0,Satış
2024-02-24,Yardımcı personel maaşı,0,37623,Maaş
2024-02-25,Klima bakımı,16270,0,Satış
2024-02-26,Elektrik ve elektronik arıza,17936,0,Satış
2024-02-28,Yedek parça toptan alımı,0,20798,Tedarik
2024-02-29,Boya ve kaporta işleri,14217,0,Satış
2024-02-29,Motor yağı ve filtre stoğu,0,25082,Tedarik
2024-03-03,Lift ve ekipman bakım,0,6646,Üretim
2024-03-04,İkinci el parça satışı,13787,0,Diğer Gelir
2024-03-04,Akü tedariği,0,22257,Tedarik
2024-03-05,Fren sistemi onarımı,19119,0,Satış
2024-03-05,Yedek parça toptan alımı,0,24062,Tedarik
2024-03-06,Servis atölye kirası,0,24718,Kira
2024-03-08,Fren sistemi onarımı,17769,0,Satış
2024-03-08,Atölye sarf malzeme,0,5808,Üretim
2024-03-08,Gelir vergisi taksiti,0,11766,Vergi
2024-03-09,Egzoz ve emisyon kontrol,22703,0,Satış
2024-03-09,Periyodik bakım geliri,19486,0,Satış
2024-03-10,Lastik değişim ve balans,22520,0,Satış
2024-03-10,Usta ve teknisyen maaşları,0,41715,Maaş
2024-03-12,Yedek parça toptan alımı,0,21872,Tedarik
2024-03-14,Lift ve ekipman bakım,0,5103,Üretim
2024-03-16,Sorumluluk sigortası,0,9559,Sigorta
2024-03-17,Egzoz ve emisyon kontrol,24729,0,Satış
2024-03-19,Fren sistemi onarımı,25051,0,Satış
2024-03-19,Lastik tedariği,0,23360,Tedarik
2024-03-19,Yardımcı personel maaşı,0,36256,Maaş
2024-03-20,İnternet aboneliği,0,8106,Fatura
