tarih,aciklama,gelir,gider,kategori
2024-01-01,Sezonluk koleksiyon alımı,0,19236,Tedarik
2024-01-01,Cadde dükkan kirası,0,24019,Kira
2024-01-04,KDV ödemesi,0,10340,Vergi
2024-01-05,Vitrin reklam geliri,9248,0,Diğer Gelir
2024-01-05,AVM aidat ödemesi,0,5028,Fatura
2024-01-05,Sosyal medya reklamı,0,4023,Pazarlama
2024-01-06,Sosyal medya reklamı,0,4864,Pazarlama
2024-01-07,Temizlik malzemeleri,0,5318,Sarf
2024-01-08,Yılbaşı satış yoğunluğu,23462,0,Satış
2024-01-11,Nakit tahsilat,20276,0,Satış
2024-01-11,Bayram öncesi satış,22758,0,Satış
2024-01-12,Nakit tahsilat,15853,0,Satış
2024-01-13,Nakit tahsilat,23351,0,Satış
2024-01-13,Nakit tahsilat,17103,0,Satış
2024-01-14,İndirim dönemi geliri,15986,0,Satış
2024-01-14,İndirim dönemi geliri,16077,0,Satış
2024-01-14,İthalat sipariş ödemesi,0,21994,Tedarik
2024-01-16,Sezonluk koleksiyon alımı,0,23509,Tedarik
2024-01-16,Mağaza müdürü maaşı,0,26174,Maaş
2024-01-17,İndirim dönemi geliri,23570,0,Satış
2024-01-18,Hafta sonu satış geliri,20761,0,Satış
2024-01-18,Sezonluk koleksiyon alımı,0,22040,Tedarik
2024-01-18,Toptan stok alımı,0,19696,Tedarik
2024-01-19,Elektrik faturası,0,4719,Fatura
2024-01-20,POS ile kart satışı,20229,0,Satış
2024-01-20,Hafta sonu satış geliri,23626,0,Satış
2024-01-22,Mağaza günlük satış,16780,0,Satış
2024-01-23,Bayram öncesi satış,23129,0,Satış
2024-01-24,İndirim dönemi geliri,23659,0,Satış
2024-01-25,İndirim kampanya tasarımı,0,4204,Pazarlama
2024-01-26,Mağaza müdürü maaşı,0,24717,Maaş
2024-01-27,Sezonluk koleksiyon alımı,0,21931,Tedarik
2024-01-29,Sezonluk kampanya satışı,21031,0,Satış
2024-01-29,Sezonluk koleksiyon alımı,0,21342,Tedarik
2024-02-01,Sezonluk koleksiyon alımı,0,31118,Tedarik
2024-02-03,Nakit tahsilat,14732,0,Satış
2024-02-03,Mağaza müdürü maaşı,0,55681,Maaş
2024-02-03,AVM aidat ödemesi,0,4183,Fatura
2024-02-05,Yılbaşı satış yoğunluğu,17752,0,Satış
2024-02-06,İndirim dönemi geliri,18845,0,Satış
2024-02-07,Sezonluk kampanya satışı,20552,0,Satış
2024-02-07,Bayram öncesi satış,17745,0,Satış
2024-02-07,Yılbaşı satış yoğunluğu,17150,0,Satış
2024-02-07,KDV ödemesi,0,10034,Vergi
2024-02-08,Poşet ve ambalaj,0,6165,Sarf
2024-02-09,Mağaza günlük satış,19232,0,Satış
2024-02-10,Sezonluk kampanya satışı,18425,0,Satış
2024-02-11,Nakit tahsilat,15961,0,Satış
2024-02-11,Mağaza günlük satış,17696,0,Satış
2024-02-11,Mağaza günlük satış,21844,0,Satış
2024-02-11,İthalat sipariş ödemesi,0,30543,Tedarik
2024-02-11,AVM mağaza kirası,0,31963,Kira
2024-02-12,Vitrin düzenleme,0,16331,Pazarlama
2024-02-13,Marka distribütör ödemesi,0,32854,Tedarik
2024-02-14,Vitrin reklam geliri,10172,0,Diğer Gelir
2024-02-16,Mağaza günlük satış,20096,0,Satış
2024-02-17,AVM aidat ödemesi,0,3492,Fatura
2024-02-18,Mağaza günlük satış,17731,0,Satış
2024-02-19,İthalat sipariş ödemesi,0,27068,Tedarik
2024-02-20,Bayram öncesi satış,20768,0,Satış
2024-02-22,İndirim dönemi geliri,20624,0,Satış
2024-02-25,POS ile kart satışı,14968,0,Satış
2024-02-25,İndirim dönemi geliri,20145,0,Satış
2024-02-25,Sezonluk koleksiyon alımı,0,31459,Tedarik
2024-02-25,Elektrik faturası,0,4400,Fatura
2024-02-26,POS ile kart satışı,17976,0,Satış
2024-02-29,Yılbaşı satış yoğunluğu,17007,0,Satış
2024-03-01,Tedarikçi A ödemesi,0,34364,Tedarik
2024-03-03,Hafta sonu satış geliri,25145,0,Satış
2024-03-04,Yılbaşı satış yoğunluğu,24072,0,Satış
2024-03-04,Vitrin düzenleme,0,8053,Pazarlama
2024-03-06,İnternet aboneliği,0,3869,Fatura
2024-03-07,Sezonluk kampanya satışı,26587,0,Satış
2024-03-07,İthalat sipariş ödemesi,0,32044,Tedarik
2024-03-07,Marka distribütör ödemesi,0,26588,Tedarik
2024-03-08,Bayram öncesi satış,25966,0,Satış
